time,volts
1684165689446600,15.804
1684165689960659,15.804
1684165690458684,15.804
1684165690959026,15.804
1684165691457592,15.801
1684165691970705,15.802
1684165692455274,15.804
1684165692970649,15.802
1684165693453095,15.804
1684165693970378,15.8
1684165694451418,15.801
1684165694967038,15.8
1684165695452384,15.787
1684165695965063,15.796
1684165696448530,15.792
1684165696965144,15.794
1684165697448637,15.795
1684165697975986,15.795
1684165698448409,15.779
1684165698963718,15.784
1684165699447049,15.785
1684165699963446,15.785
1684165700449400,15.785
1684165700964078,15.785
1684165701448664,15.769
1684165701960298,15.767
1684165702442607,15.767
1684165702972581,15.769
1684165703456322,15.767
1684165703969871,15.765
1684165704453318,15.746
1684165704969110,15.743
1684165705449550,15.746
1684165705964002,15.746
1684165706449349,15.746
1684165706964775,15.744
1684165707448032,15.715
1684165707962397,15.714
1684165708457854,15.718
1684165708974163,15.716
1684165709456845,15.715
1684165709969854,15.71
1684165710452030,15.675
1684165710965432,15.675
1684165711448206,15.674
1684165711962191,15.675
1684165712446081,15.675
1684165712964172,15.671
1684165713450033,15.626
1684165713963030,15.627
1684165714445039,15.627
1684165714961296,15.626
1684165715459948,15.623
1684165715962469,15.62
1684165716445856,15.569
1684165716964889,15.569
1684165717449650,15.572
1684165717963828,15.569
1684165718444654,15.566
1684165718958159,15.561
1684165719457777,15.504
1684165719972738,15.506
1684165720456160,15.502
1684165720970030,15.496
1684165721456159,15.497
1684165721973234,15.493
1684165722443256,15.43
1684165722961203,15.425
1684165723442773,15.421
1684165723971446,15.42
1684165724454302,15.418
1684165724966895,15.416
1684165725449028,15.337
1684165725964534,15.338
1684165726447572,15.333
1684165726965634,15.333
1684165727446950,15.338
1684165727964782,15.33
1684165728446499,15.247
1684165728964487,15.241
1684165729449460,15.239
1684165729961518,15.242
1684165730445823,15.238
1684165730974848,15.235
1684165731444123,15.144
1684165731959443,15.139
1684165732456545,15.136
1684165732959750,15.136
1684165733444809,15.131
1684165733958589,15.132
1684165734455776,15.03
1684165734971614,15.02
1684165735441000,15.016
1684165735974029,15.018
1684165736443079,15.015
1684165736957283,15.013
1684165737442880,14.901
1684165737972585,14.903
1684165738454059,14.901
1684165738972076,14.899
1684165739453530,14.898
1684165739966817,14.893
1684165740449592,14.775
1684165740963950,14.772
1684165741449252,14.768
1684165741965627,14.769
1684165742447975,14.765
1684165742962768,14.762
1684165743449028,14.632
1684165743966528,14.631
1684165744450258,14.625
1684165744965412,14.625
1684165745450033,14.624
1684165745964142,14.621
1684165746448372,14.481
1684165746963837,14.482
1684165747448034,14.476
1684165747959959,14.485
1684165748458661,14.476
1684165748972302,14.479
