time	rpm
1684165891508295	285
1684165892023006	236
1684165892505988	228
1684165893020060	228
1684165893504557	228
1684165894018030	228
1684165894500030	902
1684165895014022	939
1684165895498021	942
1684165896028835	942
1684165896514154	929
1684165897012029	942
1684165897496751	1530
1684165898013865	1562
1684165898499080	1571
1684165899031986	1569
1684165899497995	1561
1684165900011842	1557
1684165900513676	2099
1684165901043305	2114
1684165901511075	2121
1684165902025859	2114
1684165902497785	2114
1684165903016057	2123
1684165903497656	2661
1684165904026352	2666
1684165904508170	2644
1684165905021940	2651
1684165905506854	2661
1684165906021414	2667
1684165906506306	3167
1684165907023479	3200
1684165907505206	3189
1684165908020654	3214
1684165908503810	3207
1684165909018898	3200
1684165909506034	3706
1684165910021656	3700
1684165910501702	3685
1684165911033479	3687
1684165911500948	3671
1684165912014977	3693
1684165912499630	4171
1684165913012887	4185
1684165913512460	4185
1684165914015880	4205
1684165914499686	4188
1684165915013830	4187
1684165915497229	4671
1684165916015582	4649
1684165916499441	4657
1684165917012799	4683
1684165917496092	4653
1684165918025180	4659
1684165918510352	5124
1684165919023975	5128
1684165919506854	5153
1684165920020608	5100
1684165920506890	5128
1684165921034556	5134
1684165921504350	5540
1684165922021174	5515
1684165922505522	5625
1684165923019346	5542
1684165923502561	5475
1684165924014044	5538
1684165924509661	5871
1684165925023658	5881
1684165925506088	5806
1684165926020616	6008
1684165926502904	5985
1684165927030910	5914
1684165927501152	6429
1684165928017384	6423
1684165928501162	6358
1684165929013857	6294
1684165929496478	6385
1684165930029026	6316
1684165930499718	6731
1684165931028059	6605
1684165931514102	6751
1684165932028986	6718
1684165932510810	6791
1684165933030629	6765
1684165933499512	7233
1684165934014345	7035
1684165934497532	7096
1684165935012017	7060
1684165935495368	7128
1684165936025658	7064
1684165936495234	7485
1684165937025250	7551
1684165937508290	7441
1684165938022835	7331
1684165938509850	7412
1684165939024185	7497
1684165939509554	7742
1684165940027056	7784
1684165940511159	7869
1684165941041043	7777
1684165941509414	7762
1684165942023332	7771
1684165942505416	8046
1684165943021036	8214
1684165943505264	8199
1684165944016032	8084
1684165944499927	7949
1684165945015086	8084
1684165945497160	8318
1684165946010247	8493
1684165946509672	8471
1684165947025296	8423
1684165947507153	8291
1684165948022916	8398
1684165948508032	8711
1684165949022088	8663
1684165949505118	8605
1684165950017023	8697
1684165950503307	8679
