time,volts
1684166054264937,14.764
1684166054861165,15.629
1684166055332412,15.624
1684166055779153,15.629
1684166056246940,15.631
1684166056730514,15.63
1684166057227503,15.63
1684166057727550,15.627
1684166058226618,15.625
1684166058727417,15.629
1684166059225384,15.63
1684166059724402,15.631
1684166060237187,15.63
1684166060721947,15.621
1684166061219980,15.621
1684166061719932,15.623
1684166062234818,15.627
1684166062731439,15.625
1684166063230469,15.627
1684166063730894,15.609
1684166064228640,15.611
1684166064727034,15.613
1684166065227560,15.61
1684166065723926,15.611
1684166066223616,15.615
1684166066725198,15.599
1684166067228330,15.597
1684166067726034,15.6
1684166068226544,15.598
1684166068728336,15.601
1684166069226397,15.599
1684166069726220,15.573
1684166070224783,15.572
1684166070723176,15.575
1684166071224370,15.577
1684166071722973,15.575
1684166072222120,15.572
1684166072719280,15.545
1684166073219300,15.55
1684166073718028,15.543
1684166074218566,15.546
1684166074717867,15.544
1684166075219204,15.545
1684166075734328,15.507
1684166076230199,15.511
1684166076728595,15.503
1684166077227812,15.503
1684166077727270,15.504
1684166078226316,15.505
1684166078724513,15.459
1684166079226106,15.461
1684166079724474,15.456
1684166080225412,15.453
1684166080721605,15.457
1684166081221051,15.454
1684166081719462,15.405
1684166082219769,15.401
1684166082718154,15.403
1684166083220856,15.399
1684166083733672,15.4
1684166084218173,15.398
1684166084733373,15.339
1684166085219016,15.337
1684166085722650,15.337
1684166086222832,15.335
1684166086717987,15.334
1684166087220504,15.334
1684166087720032,15.265
1684166088234230,15.264
1684166088733298,15.261
1684166089217132,15.261
1684166089719002,15.261
1684166090218716,15.259
1684166090734634,15.18
1684166091219830,15.176
1684166091720034,15.17
1684166092219440,15.175
1684166092719508,15.173
1684166093218996,15.171
1684166093733271,15.081
1684166094232033,15.08
1684166094731340,15.079
1684166095229299,15.077
1684166095731270,15.077
1684166096228030,15.077
1684166096728288,14.986
1684166097228658,14.976
1684166097726536,14.977
1684166098226031,14.975
1684166098727332,14.968
1684166099227030,14.966
1684166099726961,14.86
1684166100226357,14.866
1684166100725658,14.862
1684166101224560,14.859
1684166101723885,14.863
1684166102224193,14.861
1684166102724029,14.74
1684166103222100,14.747
1684166103719245,14.742
1684166104220675,14.735
1684166104718452,14.735
1684166105218591,14.734
1684166105717502,14.603
1684166106231244,14.612
1684166106731620,14.607
1684166107229264,14.604
1684166107728421,14.603
1684166108229198,14.606
1684166108725274,14.471
1684166109230295,14.482
1684166109728923,14.472
1684166110227784,14.464
1684166110724860,14.465
1684166111224918,14.463
1684166111728435,14.316
1684166112227018,14.325
1684166112725164,14.322
1684166113223413,14.315
1684166113723885,14.307
1684166114225300,14.318
