time	rpm
1684238564604003	0
1684238564666936	0
1684238564728909	0
1684238564792846	0
1684238564856307	0
1684238564919967	0
1684238564981148	0
1684238565045068	0
1684238565138353	0
1684238565232166	0
1684238565293188	0
1684238565356030	0
1684238565417572	0
1684238565479040	0
1684238565541783	0
1684238565604234	0
1684238565666987	0
1684238565731002	0
1684238565792882	0
1684238565855943	0
1684238565920152	0
1684238565982020	0
1684238566044497	0
1684238566106877	0
1684238566168880	0
1684238566232155	0
1684238566294083	0
1684238566354343	0
1684238566416564	0
1684238566478984	0
1684238566540878	0
1684238566602739	0
1684238566665912	0
1684238566729880	0
1684238566790910	0
1684238566852816	0
1684238566915868	0
1684238566979016	0
1684238567041872	0
1684238567103656	0
1684238567166122	0
1684238567228731	0
1684238567291864	0
1684238567354002	0
1684238567417268	0
1684238567479233	2
1684238567542002	5
1684238567604990	14
1684238567667547	18
1684238567729887	22
1684238567791134	25
1684238567853949	34
1684238567917122	41
1684238567979028	49
1684238568041930	58
1684238568104057	65
1684238568166894	69
1684238568230462	78
1684238568293268	89
1684238568355570	93
1684238568417886	105
1684238568478738	113
1684238568540995	118
1684238568603909	121
1684238568666665	125
1684238568729426	129
1684238568789691	133
1684238568852613	144
1684238568916104	153
1684238568978653	157
1684238569071058	200
1684238569133610	200
1684238569197891	200
1684238569259562	200
1684238569321568	200
1684238569383810	200
1684238569446493	200
1684238569508589	200
1684238569569728	200
1684238569632906	200
1684238569695792	200
1684238569758751	200
1684238569822941	200
1684238569883576	200
1684238569945960	200
1684238570009858	200
1684238570073919	200
1684238570136776	200
1684238570197826	200
1684238570259867	200
1684238570322562	200
1684238570418060	200
1684238570481836	200
1684238570542578	200
1684238570604891	200
1684238570666828	200
1684238570728976	200
1684238570790926	200
1684238570853975	200
1684238570917082	200
1684238570979072	200
1684238571042640	200
1684238571102841	200
1684238571164622	200
1684238571227638	200
1684238571291578	200
1684238571354788	200
1684238571418013	200
1684238571480321	200
1684238571542635	200
1684238571604616	200
1684238571666196	200
1684238571760036	848
1684238571823903	849
1684238571885671	850
1684238571948992	851
1684238572010874	851
1684238572073860	851
1684238572136986	852
1684238572200674	852
1684238572261849	853
1684238572325051	855
1684238572386544	855
1684238572449788	856
1684238572511996	856
1684238572574658	856
1684238572637360	856
1684238572699011	855
1684238572760282	854
1684238572821457	853
1684238572884172	852
1684238572947986	851
1684238573010728	850
1684238573105070	857
1684238573167815	857
