time	volts
1684255495840853	13.845
1684255495876710	13.845
1684255495924441	13.845
1684255495971552	13.848
1684255496019439	13.848
1684255496066913	13.848
1684255496114344	13.848
1684255496161479	13.848
1684255496208213	13.848
1684255496254946	13.848
1684255496317999	13.848
1684255496395124	13.848
1684255496443208	13.848
1684255496507100	13.848
1684255496555582	13.848
1684255496602487	13.848
1684255496650194	13.848
1684255496697158	13.848
1684255496744039	13.848
1684255496791935	13.848
1684255496839090	13.848
1684255496886341	13.848
1684255496933464	13.848
1684255496980669	13.848
1684255497027645	13.848
1684255497074679	13.848
1684255497121655	13.848
1684255497169679	13.848
1684255497216629	13.848
1684255497263641	13.848
1684255497310666	13.848
1684255497357640	13.848
1684255497404580	13.848
1684255497451692	13.848
1684255497499644	13.848
1684255497545616	13.814
1684255497592004	13.814
1684255497639325	13.814
1684255497684867	13.814
1684255497732896	13.814
1684255497778808	13.814
1684255497825117	13.814
1684255497872766	13.814
1684255497920488	13.814
1684255497967491	13.814
1684255498013012	13.814
1684255498060616	13.814
1684255498108072	13.814
1684255498155427	13.814
1684255498202200	13.814
1684255498249207	13.814
1684255498295274	13.814
1684255498341250	13.814
1684255498388248	13.814
1684255498434930	13.814
1684255498481409	13.814
1684255498527660	13.814
1684255498575206	13.814
1684255498621522	13.814
1684255498668385	13.814
1684255498716284	13.814
1684255498762203	13.814
1684255498808668	13.814
1684255498855465	13.814
1684255498901670	13.824
1684255498948129	13.824
1684255498994402	13.824
1684255499041110	13.824
1684255499088364	13.824
1684255499135068	13.824
1684255499182589	13.824
1684255499229305	13.824
1684255499275306	13.824
1684255499323967	13.824
1684255499371307	13.824
1684255499418492	13.824
1684255499464650	13.824
1684255499512029	13.824
1684255499558898	13.824
1684255499606271	13.824
1684255499653594	13.824
1684255499700987	13.824
1684255499747520	13.824
1684255499793282	13.824
1684255499840288	13.824
1684255499887313	13.824
1684255499934466	13.824
1684255499981658	13.824
1684255500028500	13.824
1684255500076398	13.824
1684255500122460	13.824
1684255500170488	13.775
1684255500217471	13.775
1684255500264552	13.775
1684255500311759	13.775
1684255500341882	12.208
1684255500388794	12.208
1684255500435790	12.208
1684255500482792	12.208
1684255500528762	12.208
1684255500574976	12.208
1684255500621268	12.208
1684255500668900	12.208
1684255500715360	12.208
1684255500762026	12.208
1684255500808104	12.182
1684255500856293	12.182
1684255500903690	12.182
1684255500950863	12.182
1684255500997608	12.182
1684255501043948	12.182
1684255501089849	12.182
1684255501136915	12.182
1684255501184149	12.182
1684255501229546	12.182
1684255501276937	12.182
1684255501324494	12.182
1684255501371659	12.182
1684255501418650	12.182
1684255501465201	12.182
1684255501512708	12.182
1684255501558993	12.182
1684255501605001	12.182
1684255501651312	12.182
1684255501683736	11.894
1684255501729670	11.894
1684255501777896	11.876
1684255501824390	11.876
1684255501870390	11.876
1684255501917342	11.876
1684255501965342	11.876
1684255502013385	11.876
1684255502060529	11.876
1684255502107342	11.876
1684255502154943	11.876
1684255502200897	11.876
1684255502248610	11.876
1684255502294610	11.876
1684255502341847	11.876
1684255502387760	11.876
1684255502434100	11.876
1684255502479148	11.876
1684255502525755	11.876
1684255502573648	11.876
1684255502620621	11.876
1684255502668085	11.876
1684255502713471	11.876
1684255502760264	11.876
1684255502807003	11.876
1684255502852789	11.876
1684255502913999	11.876
1684255502961998	11.876
1684255503024114	11.615
1684255503071160	11.615
1684255503118070	11.615
1684255503165150	11.615
1684255503211194	11.615
1684255503258148	11.615
1684255503305356	11.615
1684255503351148	11.615
1684255503398148	11.615
1684255503446421	11.615
1684255503493562	11.615
1684255503539581	11.615
1684255503586307	11.615
1684255503633098	11.615
1684255503680187	11.615
1684255503727040	11.615
1684255503774268	11.615
1684255503820338	11.601
1684255503866643	11.601
1684255503913825	11.601
1684255503959266	11.601
1684255504005772	11.601
1684255504052266	11.601
1684255504098406	11.601
1684255504145281	11.601
1684255504193196	11.601
1684255504238394	11.601
1684255504286418	11.601
1684255504332372	11.601
1684255504347589	11.601
1684255504379576	11.406
1684255504426296	11.406
1684255504474297	11.406
1684255504521295	11.406
1684255504567295	11.406
1684255504613294	11.406
1684255504659295	11.406
1684255504706529	11.406
1684255504753513	11.406
1684255504800652	11.406
1684255504847582	11.406
1684255504893525	11.406
1684255504940526	11.406
1684255504987526	11.406
1684255505033838	11.406
1684255505081772	11.406
1684255505129440	11.406
1684255505175610	11.406
1684255505222897	11.406
1684255505270852	11.406
1684255505316518	11.406
1684255505363472	11.406
1684255505409837	11.406
1684255505456294	11.406
1684255505502770	11.406
1684255505550371	11.406
1684255505598682	11.406
1684255505645608	11.406
1684255505692448	11.406
1684255505738818	11.406
1684255505770639	11.119
1684255505817254	11.119
1684255505864216	11.119
1684255505927588	11.119
1684255505974494	11.119
1684255506020636	11.119
1684255506067710	11.119
1684255506115194	11.119
1684255506163194	11.119
1684255506209194	11.119
1684255506256253	11.119
1684255506303687	11.119
1684255506350563	11.101
1684255506397720	11.101
1684255506445802	11.101
1684255506492878	11.101
1684255506541142	11.101
1684255506588157	11.101
1684255506634397	11.101
1684255506682310	11.101
1684255506728919	11.101
1684255506775908	11.101
1684255506823404	11.101
1684255506871536	11.101
1684255506917491	11.101
1684255506964716	11.101
1684255507012796	11.101
1684255507058892	11.101
1684255507107011	11.101
1684255507138150	10.886
1684255507185776	10.886
1684255507233011	10.886
1684255507280036	10.886
1684255507327027	10.886
1684255507374028	10.886
1684255507421027	10.886
1684255507468028	10.886
1684255507515175	10.886
1684255507561206	10.886
1684255507607084	10.886
1684255507653916	10.886
1684255507700972	10.886
1684255507747156	10.886
1684255507794198	10.886
1684255507842484	10.886
1684255507890319	10.886
1684255507937460	10.886
1684255507985314	10.886
1684255508031554	10.886
1684255508079748	10.886
1684255508126338	10.886
1684255508173200	10.886
1684255508219876	10.886
1684255508267163	10.886
1684255508313998	10.886
1684255508360999	10.886
1684255508406998	10.886
