time	rpm
1684334416277096	0
1684334416323410	0
1684334416369768	0
1684334416415996	0
1684334416462766	0
1684334416539399	0
1684334416602223	0
1684334416663829	0
1684334416710458	0
1684334416758404	0
1684334416806214	0
1684334416853599	70
1684334416900490	165
1684334416948511	281
1684334416995196	481
1684334417043503	592
1684334417090146	709
1684334417136268	809
1684334417182824	926
1684334417229081	1120
1684334417276460	1221
1684334417322566	1354
1684334417369533	1453
1684334417415381	1553
1684334417462613	1754
1684334417510246	1892
1684334417556621	1997
1684334417602839	2083
1684334417649150	2290
1684334417695432	2532
1684334417741582	2748
1684334417789077	2870
1684334417835629	2962
1684334417881918	3182
1684334417929681	3284
1684334417977318	3403
1684334418024406	3618
1684334418071871	3826
1684334418119255	3928
1684334418165310	4049
1684334418212363	4139
1684334418259274	4236
1684334418307207	4550
1684334418352209	4466
1684334418398458	4396
1684334418445457	4311
1684334418491283	4217
1684334418538483	4119
1684334418585600	3965
1684334418632553	3876
1684334418680470	3798
1684334418726762	3702
1684334418773842	3614
1684334418819776	3456
1684334418867714	3374
1684334418913771	3285
1684334418960802	3181
1684334419007918	3102
1684334419053710	2951
1684334419099897	2856
1684334419147033	2512
1684334419194608	2401
1684334419241514	2232
1684334419288611	2147
1684334419335368	2072
1684334419382422	1973
1684334419428399	1900
1684334419475467	1804
1684334419521455	1639
1684334419567350	1545
1684334419615026	1475
1684334419662087	1379
1684334419709934	1217
1684334419757784	1123
1684334419805020	1071
1684334419852016	1086
1684334419899868	1113
1684334419947231	1171
1684334419993760	1191
1684334420040754	1222
1684334420087828	1254
1684334420134915	1277
1684334420181407	1306
1684334420228773	1356
1684334420273898	1389
1684334420320868	1411
1684334420367516	1442
1684334420415040	1473
1684334420461438	1526
1684334420507316	1551
1684334420553353	1576
1684334420599412	1663
1684334420646532	1722
1684334420693287	1753
1684334420771463	9526
1684334420817285	9530
1684334420864202	9531
1684334420911308	9533
1684334420959317	9535
1684334421006874	9536
1684334421053868	9540
1684334421101785	9542
1684334421148510	9545
1684334421195539	9547
1684334421242595	9549
1684334421289284	9550
1684334421336182	9552
1684334421382761	9555
1684334421430725	9559
1684334421479298	9562
1684334421525704	9564
1684334421573092	9566
1684334421619868	9568
1684334421667706	9569
1684334421716077	9570
1684334421764194	9566
1684334421810661	9564
1684334421856730	9561
1684334421903341	9560
1684334421951087	9559
1684334421998622	9557
1684334422046196	9556
1684334422122924	9649
1684334422169726	9668
1684334422217060	9664
1684334422264576	9660
1684334422312011	9655
1684334422359012	9648
1684334422405082	9639
1684334422452479	9631
1684334422498259	9626
1684334422545507	9614
1684334422591692	9610
1684334422637610	9601
1684334422684641	9597
1684334422730889	9593
1684334422777338	9589
1684334422823159	9585
1684334422870369	9580
1684334422916966	9573
1684334422964230	9567
1684334423010797	9564
1684334423057784	9559
1684334423105268	9551
1684334423152784	9547
1684334423199465	9543
1684334423246776	9539
1684334423293090	9535
1684334423340170	9526
1684334423386984	9522
1684334423464984	9400
1684334423511606	9400
1684334423558372	9400
1684334423605238	9400
1684334423652091	9400
1684334423699697	9400
1684334423746380	9400
1684334423793752	9400
1684334423840876	9400
1684334423886450	9400
1684334423933803	9400
1684334423980433	9403
1684334424027517	9407
1684334424073966	9409
1684334424120932	9413
1684334424166604	9417
1684334424214046	9419
1684334424262072	9421
1684334424307692	9423
1684334424353620	9428
1684334424400766	9429
1684334424447866	9434
1684334424494529	9438
1684334424541528	9442
1684334424588417	9444
1684334424634794	9446
1684334424681678	9450
1684334424727784	9455
1684334424774765	9457
1684334424854137	9399
1684334424900682	9394
1684334424947984	9393
1684334424993753	9391
1684334425040022	9389
1684334425087832	9386
1684334425134896	9381
1684334425181086	9378
1684334425227641	9376
1684334425274778	9373
1684334425322015	9370
1684334425368953	9368
1684334425415710	9366
1684334425461606	9362
1684334425508648	9360
1684334425555662	9358
1684334425601640	9356
1684334425647994	9354
1684334425694848	9348
1684334425741978	9346
1684334425789778	9344
1684334425836382	9340
1684334425882254	9338
1684334425928104	9336
1684334425973941	9332
1684334426019950	9330
1684334426066667	9328
1684334426114376	9320
1684334426161563	9317
1684334426238853	9325
1684334426285225	9325
1684334426331870	9324
1684334426378806	9324
1684334426424882	9324
1684334426471330	9323
1684334426517868	9323
1684334426564144	9322
1684334426611921	9322
1684334426657810	9321
1684334426705203	9321
1684334426751999	9320
1684334426798500	9319
1684334426845443	9319
1684334426893138	9318
1684334426938641	9318
1684334426985394	9317
1684334427032397	9317
1684334427078956	9317
1684334427125570	9316
1684334427172145	9316
1684334427218764	9316
1684334427264586	9315
1684334427309887	9315
1684334427356363	9314
1684334427402601	9314
1684334427448364	9314
1684334427494359	9314
1684334427540226	9312
1684334427617040	9281
1684334427664132	9286
1684334427710877	9289
1684334427756899	9292
1684334427802223	9295
1684334427848292	9297
1684334427894886	9311
1684334427942350	9317
1684334427989527	9320
1684334428035476	9323
1684334428081864	9328
1684334428128568	9331
1684334428174695	9334
1684334428221613	9336
1684334428268966	9339
1684334428316606	9342
1684334428363514	9345
1684334428410023	9350
1684334428457839	9352
1684334428504797	9357
1684334428550610	9357
1684334428597012	9357
1684334428643674	9361
1684334428691194	9362
1684334428737024	9364
1684334428783887	9365
1684334428830328	9367
1684334428877084	9370
1684334428923452	9372
1684334429001537	9425
1684334429047614	9423
1684334429094210	9423
1684334429140785	9422
1684334429187457	9421
1684334429234363	9420
1684334429280705	9418
1684334429327383	9417
1684334429373787	9416
1684334429420600	9415
1684334429466852	9414
1684334429512705	9413
1684334429559616	9412
1684334429604702	9411
1684334429651006	9410
1684334429698698	9409
1684334429744910	9408
1684334429791540	9406
1684334429836702	9405
1684334429883652	9405
1684334429930224	9403
1684334429976540	9402
1684334430024032	9401
1684334430070516	9400
1684334430117710	9399
1684334430164290	9398
1684334430211709	9396
1684334430303796	9296
1684334430351055	9294
1684334430397613	9293
1684334430444392	9291
1684334430491258	9290
1684334430537708	9289
1684334430585038	9288
1684334430630936	9287
1684334430676413	9285
1684334430723826	9285
1684334430770208	9285
1684334430815776	9285
1684334430861866	9285
1684334430908664	9285
1684334430955802	9285
1684334431001882	9285
1684334431050196	9285
1684334431097195	9285
1684334431143640	9285
1684334431190357	9285
1684334431237478	9285
1684334431283673	9285
1684334431331007	9285
1684334431377829	9285
1684334431426396	9285
1684334431472008	9285
1684334431519220	9285
1684334431566655	9285
1684334431644394	9314
1684334431691052	9307
1684334431737393	9292
1684334431783982	9284
1684334431830952	9277
1684334431876694	9271
1684334431923040	9262
1684334431969468	9255
1684334432016235	9242
1684334432062188	9233
1684334432108311	9211
