time	pwm_percent
1684770885205270	2
1684770888215882	7
1684770891223207	12
1684770894238310	17
1684770897249461	22
1684770900264376	27
1684770903268326	32
1684770906283716	37
1684770909294834	42
1684770912307318	47
1684770915322998	52
1684770918334873	57
1684770921346228	62
1684770924359227	67
1684770927371854	72
1684770930372297	77
1684770933386337	82
1684770936387133	87
1684770939392705	92
1684770942393701	97
1684770945407978	100
1684770948410546	95
1684770950420546	90
1684770952434544	85
1684770954437606	80
1684770956447610	75
1684770958457391	70
1684770960465823	65
1684770962471202	60
1684770964486412	55
1684770966498412	50
1684770968515046	45
1684770970528470	40
1684770972538007	35
1684770974545008	30
1684770976554861	25
1684770978566449	20
1684770980577916	15
1684770982583918	10
1684770984598290	5
