time	rpm
1684771099314820	0
1684771099314820	0
1684771099315863	0
1684771099316864	0
1684771099316864	0
1684771099317818	0
1684771099317818	0
1684771099318824	0
1684771099318824	0
1684771099319822	0
1684771099320847	0
1684771099321874	0
1684771099321874	0
1684771099322870	0
1684771099323870	0
1684771099323870	0
1684771099324864	0
1684771099324864	0
1684771099325824	0
1684771099326822	0
1684771099326822	0
1684771099327822	0
1684771099329850	0
1684771099331823	0
1684771099334821	0
1684771099341818	0
1684771099344820	0
1684771099349850	0
1684771099351821	0
1684771099354818	0
1684771099356818	0
1684771099361822	0
1684771099364820	0
1684771099366820	0
1684771099374860	0
1684771099379820	0
1684771099384871	0
1684771099389872	0
1684771099392865	0
1684771099394820	0
1684771099397860	0
1684771099399860	0
1684771099402872	0
1684771099406873	0
1684771099409859	0
1684771099416860	0
1684771099419860	0
1684771099422859	0
1684771099427822	0
1684771099429859	0
1684771099431876	0
1684771099434820	0
1684771099437862	0
1684771099444860	0
1684771099447821	0
1684771099453862	0
1684771099454859	0
1684771099459860	0
1684771099461859	0
1684771099467861	0
1684771099474859	0
1684771099477860	0
1684771099482859	0
1684771099485862	1
1684771099487862	4
1684771099489859	7
1684771099492860	10
1684771099497960	17
1684771099500822	20
1684771099502859	23
1684771099504862	26
1684771099507859	30
1684771099510868	33
1684771099515866	39
1684771099517996	42
1684771099522862	48
1684771099523860	48
1684771099525818	52
1684771099529860	57
1684771099532862	60
1684771099535862	64
1684771099537863	67
1684771099540860	70
1684771099544859	76
1684771099547860	79
1684771099550820	83
1684771099552864	85
1684771099557859	91
1684771099560859	95
1684771099562861	98
1684771099564860	100
1684771099567857	104
1684771099577857	117
1684771099580857	120
1684771099585858	127
1684771099590859	128
1684771099595858	128
1684771099598858	128
1684771099600860	128
1684771099602857	128
1684771099605857	128
1684771099610857	128
1684771099613862	128
1684771099615857	128
1684771099617857	128
1684771099619857	128
1684771099625858	128
1684771099628857	128
1684771099630856	128
1684771099632862	128
1684771099635856	128
1684771099640857	128
1684771099642857	128
1684771099645861	128
1684771099647858	128
1684771099650857	128
1684771099653860	128
1684771099658860	128
1684771099660856	128
1684771099662858	128
1684771099665857	128
1684771099670820	128
1684771099672859	128
1684771099675860	128
1684771099677862	128
1684771099688859	128
1684771099695959	128
1684771099696959	128
1684771099698862	128
1684771099700862	130
1684771099704820	132
1684771099707346	135
1684771099710824	139
1684771099713820	140
1684771099719825	145
1684771099720825	146
1684771099723889	149
1684771099725823	151
1684771099728820	153
1684771099732095	155
1684771099733824	157
1684771099738827	161
1684771099742828	163
1684771099744065	165
1684771099748823	169
1684771099750818	171
1684771099751862	171
1684771099756862	175
1684771099758819	177
1684771099760864	179
1684771099763862	181
1684771099769192	185
1684771099777564	191
1684771099783861	197
1684771099786863	199
1684771099793862	205
1684771099797068	207
1684771099799819	210
1684771099803850	300
1684771099806849	300
1684771099808856	300
1684771099811820	300
1684771099817240	300
1684771099818860	300
1684771099821861	300
1684771099823861	300
1684771099826860	300
1684771099834058	300
1684771099836860	300
1684771099841820	300
1684771099843858	300
1684771099846858	300
1684771099848857	300
1684771099851858	300
1684771099856859	300
1684771099858859	300
1684771099861857	300
1684771099863857	300
1684771099866858	300
1684771099870858	300
1684771099876860	300
1684771099883858	300
1684771099888859	300
1684771099892861	300
1684771099893856	300
1684771099896857	300
1684771099898857	300
1684771099903857	300
1684771099906856	300
1684771099908860	300
1684771099911857	300
1684771099913856	300
1684771099918856	301
1684771099923858	302
1684771099926850	302
1684771099929856	302
1684771099933861	303
1684771099936858	303
1684771099938857	304
1684771099941857	304
1684771099946859	305
1684771099948860	305
1684771099954859	306
1684771099956860	306
1684771099958863	306
1684771099963157	307
1684771099967189	307
1684771099972198	308
1684771099974198	308
1684771099977204	308
1684771099979198	309
1684771099982202	309
1684771099987198	310
1684771099989201	310
1684771099992204	310
1684771099994197	311
1684771099997198	311
1684771099999198	311
1684771100004200	312
1684771100007199	312
1684771100009198	313
1684771100013202	313
1684771100017219	314
1684771100019198	314
1684771100022197	314
1684771100024202	314
1684771100027230	314
1684771100035197	314
1684771100039200	314
1684771100043197	314
1684771100047198	314
1684771100048197	314
1684771100052197	314
1684771100054198	314
1684771100057198	314
1684771100059198	314
1684771100062201	314
1684771100067198	314
1684771100069207	314
1684771100077198	314
1684771100079197	314
1684771100083198	314
1684771100087199	314
1684771100090197	314
1684771100092200	314
1684771100095198	314
1684771100100198	314
1684771100102198	314
1684771100105198	314
1684771100107200	314
1684771100110204	314
1684771100112198	314
1684771100117204	313
1684771100120202	313
1684771100122200	312
1684771100125159	312
1684771100130198	311
1684771100132204	310
1684771100135199	310
1684771100137198	309
1684771100140159	309
1684771100145202	308
1684771100147209	307
1684771100149199	307
1684771100152199	306
1684771100155204	306
1684771100157199	305
1684771100162198	304
1684771100165198	303
1684771100167198	303
1684771100170196	302
1684771100175198	301
1684771100178198	301
1684771100183195	300
1684771100188198	299
1684771100190196	298
1684771100193192	298
1684771100196196	297
1684771100198196	297
1684771100204199	295
1684771100210198	294
1684771100215204	293
1684771100219158	292
1684771100219158	292
1684771100223198	291
1684771100225201	270
1684771100228198	270
1684771100230198	270
1684771100235198	269
1684771100238201	269
1684771100240187	268
1684771100243198	268
1684771100245161	268
1684771100248201	267
1684771100253198	267
1684771100255198	266
1684771100258198	266
1684771100262198	265
1684771100264198	265
1684771100267197	265
1684771100270200	265
1684771100278201	263
1684771100283198	263
1684771100286200	262
1684771100288198	262
1684771100292198	262
1684771100293200	261
1684771100298201	261
1684771100301200	260
1684771100303198	260
1684771100306198	260
1684771100308158	259
1684771100313218	259
1684771100316199	259
1684771100320200	258
1684771100323177	258
1684771100326211	257
1684771100328156	257
1684771100331158	256
1684771100333198	256
1684771100338211	255
1684771100341202	255
1684771100342200	255
1684771100346201	254
1684771100348200	254
1684771100350200	254
1684771100353203	253
1684771100358198	253
1684771100361215	252
1684771100363203	252
1684771100365198	251
1684771100370158	251
1684771100373199	250
1684771100379205	249
1684771100384200	249
1684771100386198	248
1684771100389200	248
1684771100392200	248
1684771100394198	247
1684771100397197	247
1684771100402200	246
1684771100404158	246
1684771100406197	246
1684771100409198	245
1684771100414203	244
1684771100418159	244
1684771100419201	244
1684771100423198	243
1684771100426200	243
1684771100426200	243
1684771100431204	242
1684771100434157	242
1684771100438200	242
1684771100444199	242
1684771100448200	242
1684771100449203	242
1684771100452198	242
1684771100454202	242
1684771100459198	242
1684771100461200	242
1684771100464158	242
1684771100469201	242
1684771100471202	242
1684771100474198	242
1684771100477198	242
1684771100484202	242
1684771100487198	242
1684771100492198	242
1684771100495198	242
1684771100497184	242
1684771100499201	242
1684771100502198	242
1684771100505198	242
1684771100509198	242
1684771100512200	242
1684771100514206	242
1684771100517199	242
1684771100520198	242
1684771100524198	242
1684771100527218	242
1684771100529200	242
1684771100532198	242
1684771100535202	242
1684771100539198	242
1684771100542200	242
1684771100545200	242
1684771100547200	242
1684771100552204	242
1684771100554200	242
1684771100557198	242
1684771100561202	242
1684771100562198	242
1684771100567202	242
1684771100569199	242
1684771100575198	242
1684771100579198	242
1684771100582204	242
1684771100590200	242
1684771100595200	242
1684771100597200	242
1684771100600198	242
1684771100602198	242
1684771100605198	242
1684771100610197	242
1684771100613199	242
1684771100615197	242
1684771100617198	242
1684771100622200	242
1684771100625200	242
1684771100627198	242
1684771100630198	242
1684771100647202	242
1684771100647202	242
1684771100648200	242
1684771100649198	242
1684771100649198	242
1684771100650198	242
1684771100651194	242
1684771100655200	242
1684771100657200	242
1684771100660158	242
1684771100664198	242
1684771100665198	242
1684771100670199	242
1684771100672199	242
1684771100681158	242
1684771100687197	242
1684771100693185	242
1684771100696204	242
1684771100698202	242
1684771100701158	242
1684771100703198	242
1684771100708197	242
1684771100710317	242
1684771100713198	242
1684771100716219	242
1684771100718200	242
1684771100720157	242
1684771100726186	242
1684771100728200	242
1684771100731357	242
1684771100733204	242
1684771100738201	242
1684771100741158	242
1684771100743157	242
1684771100745316	242
1684771100748192	242
1684771100753157	242
1684771100756157	242
1684771100758156	242
1684771100761158	242
1684771100763195	242
1684771100766200	242
1684771100771195	242
1684771100773202	242
1684771100775196	242
1684771100778202	242
1684771100787195	242
1684771100791196	242
1684771100796196	242
1684771100798199	242
1684771100801197	242
1684771100803195	242
1684771100806160	242
1684771100809196	242
1684771100813196	242
1684771100818200	242
1684771100823205	242
1684771100826158	242
1684771100828192	242
1684771100831158	242
1684771100834158	242
1684771100838158	242
1684771100841158	242
1684771100844157	242
1684771100846228	242
1684771100851156	242
1684771100853156	242
1684771100856196	242
1684771100858200	242
1684771100861197	242
1684771100866196	242
1684771100870195	242
1684771100876158	242
1684771100878198	242
1684771100881197	242
1684771100886195	242
1684771100889195	242
1684771100890199	242
1684771100895195	242
1684771100901200	242
1684771100904195	242
1684771100906199	242
1684771100909196	242
1684771100914195	242
1684771100916198	242
1684771100918202	242
1684771100922194	242
1684771100924195	242
1684771100929198	242
1684771100933159	242
1684771100938202	242
1684771100941198	242
1684771100944199	242
1684771100947288	242
1684771100949198	242
1684771100955198	242
1684771100959200	242
1684771100964198	242
1684771100966198	242
1684771100971164	242
1684771100974198	242
1684771100977198	242
1684771100979206	242
1684771100982198	242
1684771100984200	242
1684771100987198	242
1684771100991198	242
1684771100994299	242
1684771100997200	242
1684771101000158	242
1684771101004158	242
1684771101008159	242
1684771101009168	242
1684771101012160	242
1684771101014156	242
1684771101017198	242
1684771101019200	242
1684771101024198	242
1684771101027201	242
1684771101029200	242
1684771101032200	242
1684771101034158	242
1684771101037200	242
1684771101041198	242
1684771101044199	242
1684771101047200	242
1684771101049207	242
1684771101052198	242
1684771101058198	242
1684771101058198	242
1684771101061200	242
1684771101066158	242
1684771101067198	242
1684771101073158	242
1684771101077198	242
1684771101084198	242
1684771101087198	242
1684771101091199	242
1684771101094193	242
1684771101097201	242
1684771101099198	242
1684771101102200	242
1684771101108198	242
1684771101109158	242
1684771101111200	242
1684771101114201	242
1684771101117202	242
1684771101122204	242
1684771101124200	242
1684771101127200	242
1684771101129200	242
1684771101134204	242
1684771101137198	242
1684771101139201	242
1684771101142198	242
1684771101144198	242
1684771101147198	242
1684771101152198	242
1684771101154198	242
1684771101157198	242
1684771101159200	242
1684771101165197	242
1684771101166215	242
1684771101173198	242
1684771101177200	242
1684771101183198	242
