time	volts
1684511498124104	16.133
1684511498126106	16.133
1684511498126106	16.133
1684511498127104	16.133
1684511498127104	16.133
1684511498128102	16.133
1684511498129107	16.133
1684511498130104	16.133
1684511498130104	16.133
1684511498131103	16.133
1684511498132117	16.133
1684511498133112	16.133
1684511498133112	16.133
1684511498134112	16.133
1684511498134112	16.133
1684511498135072	16.133
1684511498136072	16.136
1684511498137074	16.136
1684511498137074	16.136
1684511498138104	16.136
1684511498138104	16.136
1684511498139105	16.136
1684511498140104	16.136
1684511498141105	16.136
1684511498141105	16.136
1684511498142105	16.136
1684511498143102	16.136
1684511498144112	16.136
1684511498144112	16.136
1684511498145112	16.136
1684511498145112	16.136
1684511498146113	16.136
1684511498147114	16.136
1684511498148112	16.136
1684511498148112	16.136
1684511498149094	16.136
1684511498150072	16.136
1684511498151074	16.136
1684511498151074	16.136
1684511498152076	16.136
1684511498152076	16.136
1684511498153104	16.136
1684511498154105	16.136
1684511498155105	16.136
1684511498155105	16.136
1684511498156104	16.14
1684511498157070	16.14
1684511498157070	16.14
1684511498158115	16.14
1684511498159110	16.14
1684511498159110	16.14
1684511498160112	16.14
1684511498161116	16.14
1684511498161116	16.14
1684511498162112	16.14
1684511498163110	16.14
1684511498164117	16.14
1684511498164117	16.14
1684511498165116	16.14
1684511498166110	16.14
1684511498166110	16.14
1684511498167074	16.14
1684511498168072	16.14
1684511498168072	16.14
1684511498170104	16.14
1684511498171106	16.14
1684511498171106	16.14
1684511498172101	16.14
1684511498172101	16.14
1684511498173100	16.14
1684511498174101	16.14
1684511498175113	16.14
1684511498175113	16.14
1684511498176132	16.14
1684511498176132	16.138
1684511498177112	16.138
1684511498178072	16.138
1684511498179112	16.138
1684511498179112	16.138
1684511498180075	16.138
1684511498181072	16.138
1684511498182074	16.138
1684511498183074	16.138
1684511498183074	16.138
1684511498184089	16.138
1684511498184089	16.138
1684511498185073	16.138
1684511498186074	16.138
1684511498187072	16.138
1684511498187072	16.138
1684511498188100	16.138
1684511498188100	16.138
1684511498190074	16.138
1684511498190074	16.138
1684511498191075	16.138
1684511498192073	16.138
1684511498192073	16.138
1684511498194073	16.138
1684511498195073	16.138
1684511498195073	16.138
1684511498196126	16.138
1684511498196126	16.138
1684511498197112	16.138
1684511498198099	16.138
1684511498199072	16.143
1684511498199072	16.143
1684511498200072	16.143
1684511498201072	16.143
1684511498202104	16.143
1684511498202104	16.143
1684511498203106	16.143
1684511498204104	16.143
1684511498204104	16.143
1684511498205115	16.143
1684511498206115	16.143
1684511498206115	16.143
1684511498207112	16.143
1684511498208112	16.143
1684511498209114	16.143
1684511498209114	16.143
1684511498210112	16.143
1684511498210112	16.143
1684511498211112	16.143
1684511498212118	16.143
1684511498213112	16.143
1684511498213112	16.143
1684511498214072	16.143
1684511498215076	16.143
1684511498216073	16.143
1684511498217074	16.143
1684511498217074	16.143
1684511498218115	16.143
1684511498219106	16.143
1684511498220102	16.143
1684511498221111	16.141
1684511498227110	16.141
1684511498228112	16.141
1684511498228112	16.141
1684511498229129	16.141
1684511498229129	16.141
1684511498230122	16.141
1684511498231104	16.141
1684511498232072	16.141
1684511498232072	16.141
1684511498233112	16.141
1684511498233112	16.141
1684511498234085	16.141
1684511498235114	16.141
1684511498235114	16.141
1684511498236112	16.141
1684511498236112	16.141
1684511498237115	16.141
1684511498238117	16.141
1684511498239116	16.144
1684511498239116	16.144
1684511498240110	16.144
1684511498240110	16.144
1684511498241070	16.144
1684511498242113	16.144
1684511498243110	16.144
1684511498243110	16.144
1684511498244112	16.144
1684511498245112	16.144
1684511498245112	16.144
1684511498246072	16.144
1684511498246072	14.479
1684511498251071	14.479
1684511498252112	14.479
1684511498253110	14.479
1684511498253110	14.479
1684511498254112	14.479
1684511498254112	14.479
1684511498255108	14.479
1684511498256109	14.479
1684511498256109	14.479
1684511498257072	14.479
1684511498258071	14.479
1684511498258071	14.479
1684511498259110	14.479
1684511498260112	14.479
1684511498260112	14.479
1684511498261110	14.479
1684511498261110	14.479
1684511498262108	14.843
1684511498265072	14.843
1684511498269114	14.843
1684511498272112	14.843
1684511498277117	14.843
1684511498282104	14.843
1684511498284070	14.843
1684511498287113	14.843
1684511498289126	14.843
1684511498294103	14.843
1684511498299114	14.843
1684511498302074	14.843
1684511498307115	14.843
1684511498309113	14.843
1684511498315114	14.843
1684511498317115	14.843
1684511498322113	14.843
1684511498325112	14.843
1684511498329072	14.843
1684511498332114	14.843
1684511498335111	14.843
1684511498337112	14.843
1684511498342105	14.843
1684511498345102	14.843
1684511498347071	14.843
1684511498350117	14.843
1684511498352110	14.843
1684511498357114	14.886
1684511498360070	14.886
1684511498363114	14.886
1684511498365120	14.886
1684511498367074	14.886
1684511498370115	14.886
1684511498375072	14.886
1684511498377104	14.886
1684511498380115	14.886
1684511498392104	14.886
1684511498402114	14.886
1684511498410113	14.886
1684511498414117	14.886
1684511498417115	14.886
1684511498420072	14.886
1684511498422117	14.886
1684511498425116	14.886
1684511498429115	14.886
1684511498432110	14.886
1684511498442113	14.886
1684511498445115	14.886
1684511498447114	14.886
1684511498450113	14.886
1684511498452102	14.886
1684511498457113	14.885
1684511498460072	14.885
1684511498463115	14.885
1684511498464118	14.885
1684511498467102	14.885
1684511498472106	14.885
1684511498477115	14.885
1684511498480113	14.885
1684511498485112	14.885
1684511498487110	14.885
1684511498490113	14.885
1684511498492116	14.885
1684511498497074	14.885
1684511498505115	14.885
1684511498510112	14.885
1684511498514072	14.885
1684511498518113	14.885
1684511498520071	14.885
1684511498523114	14.885
1684511498526117	14.885
1684511498531071	14.885
1684511498533112	14.885
1684511498536118	14.885
1684511498538115	14.885
1684511498540114	14.885
1684511498544106	14.885
1684511498548074	14.885
1684511498550072	14.885
1684511498558101	14.887
1684511498560106	14.887
1684511498563104	14.887
1684511498565102	14.887
1684511498571121	14.887
1684511498573105	14.887
1684511498576072	14.887
1684511498578104	14.887
1684511498580118	14.887
1684511498586110	14.887
1684511498588114	14.887
1684511498591113	14.887
1684511498593112	14.887
1684511498595114	14.887
1684511498600115	14.887
1684511498607085	14.887
1684511498610117	14.887
1684511498613115	14.887
1684511498615118	14.887
1684511498618114	14.887
1684511498623072	14.887
1684511498626098	14.887
1684511498628117	14.887
1684511498631072	14.887
1684511498635116	14.887
1684511498638097	14.887
1684511498640114	14.887
1684511498647120	14.887
1684511498650113	14.887
1684511498653073	14.887
1684511498656100	14.887
1684511498658094	14.875
1684511498662114	14.875
1684511498665114	14.875
1684511498668114	14.875
1684511498671072	14.875
1684511498673110	14.875
1684511498678117	14.875
1684511498680118	14.875
1684511498686072	14.875
1684511498706113	14.875
1684511498718116	14.875
1684511498723115	14.875
1684511498728116	14.875
1684511498730112	14.875
1684511498733072	14.875
1684511498736112	14.875
1684511498738113	14.875
1684511498743071	14.875
1684511498745113	14.875
1684511498748072	14.875
1684511498751110	14.875
1684511498755112	14.875
1684511498758112	14.884
1684511498761115	14.884
1684511498763072	14.884
1684511498765073	14.884
1684511498771104	14.884
1684511498772104	14.884
1684511498775103	14.884
1684511498778074	14.884
1684511498780072	14.884
1684511498784072	14.884
1684511498786114	14.884
1684511498791074	14.884
1684511498793073	14.884
1684511498796072	14.884
1684511498803098	14.884
1684511498806072	14.884
1684511498811072	14.884
1684511498814072	14.884
1684511498816072	14.884
1684511498818113	14.884
1684511498821073	14.884
1684511498826071	14.884
1684511498829075	14.884
1684511498831070	14.884
1684511498834072	14.884
1684511498836071	14.884
1684511498841104	14.884
1684511498843100	14.884
1684511498846110	14.884
1684511498849105	14.884
1684511498851106	14.884
1684511498854074	14.884
1684511498858106	14.884
1684511498861070	14.884
1684511498863071	14.884
1684511498866070	14.884
1684511498871082	14.884
1684511498874072	14.884
1684511498876072	14.884
1684511498878071	14.884
1684511498881071	14.884
1684511498886072	14.884
1684511498889118	14.884
1684511498891116	14.884
1684511498894111	14.884
1684511498896114	14.884
1684511498904072	14.884
1684511498906073	14.884
1684511498912115	14.884
1684511498913074	14.884
1684511498916118	14.884
1684511498919120	14.884
1684511498921072	14.884
1684511498924112	14.884
1684511498927130	14.884
1684511498932112	14.884
1684511498934072	14.884
1684511498936072	14.884
1684511498941105	14.884
1684511498944114	14.884
1684511498946113	14.884
1684511498949115	14.884
1684511498951072	14.884
1684511498956115	14.884
1684511498959113	14.88
1684511498961112	14.88
1684511498964132	14.88
1684511498967102	14.88
1684511498969105	14.88
1684511498974118	14.88
1684511498976114	14.88
1684511498979101	14.88
1684511498981115	14.88
1684511498984112	14.88
1684511498989074	14.88
1684511498991120	14.88
1684511498996113	14.88
1684511498997115	14.88
1684511498999072	14.88
1684511499004113	14.88
1684511499006073	14.88
