time	rpm
1684513576971822	0
1684513576972791	0
1684513576972791	0
1684513576973792	0
1684513576973792	0
1684513576974790	0
1684513576975793	0
1684513576976792	0
1684513576977790	0
1684513576977790	0
1684513576978792	0
1684513576978792	0
1684513576979792	0
1684513576980791	0
1684513576981792	0
1684513576981792	0
1684513576982789	0
1684513576983793	0
1684513576984793	0
1684513576984793	0
1684513576985792	0
1684513576985792	0
1684513576986792	0
1684513576987792	0
1684513576988789	0
1684513576988789	0
1684513576989792	0
1684513576990789	0
1684513576991789	0
1684513576991789	0
1684513576992789	0
1684513576992789	0
1684513576993790	0
1684513576994791	0
1684513576995788	0
1684513576995788	0
1684513576996790	0
1684513576996790	0
1684513576997791	0
1684513576998794	0
1684513576998794	0
1684513576999791	0
1684513576999791	0
1684513577001794	0
1684513577001794	0
1684513577002793	0
1684513577003792	0
1684513577003792	0
1684513577004790	0
1684513577005793	0
1684513577006792	0
1684513577007792	0
1684513577008794	0
1684513577009792	0
1684513577009792	0
1684513577010792	0
1684513577011790	0
1684513577012794	0
1684513577012794	0
1684513577013789	0
1684513577013789	0
1684513577014792	0
1684513577015793	0
1684513577016791	0
1684513577016791	0
1684513577017792	0
1684513577017792	0
1684513577019792	0
1684513577019792	0
1684513577020792	0
1684513577021792	0
1684513577021792	0
1684513577022793	0
1684513577023792	0
1684513577024793	0
1684513577024793	0
1684513577025793	0
1684513577026793	0
1684513577027793	0
1684513577027793	0
1684513577028792	0
1684513577029794	0
1684513577030792	0
1684513577030792	0
1684513577031792	0
1684513577031792	0
1684513577032792	0
1684513577033793	0
1684513577034796	0
1684513577034796	0
1684513577035792	0
1684513577036792	0
1684513577036792	0
1684513577038794	0
1684513577038794	0
1684513577039792	0
1684513577039792	0
1684513577040794	0
1684513577041792	0
1684513577042790	0
1684513577042790	0
1684513577043789	0
1684513577043789	0
1684513577044790	0
1684513577045793	0
1684513577046793	0
1684513577047791	0
1684513577047791	0
1684513577048793	0
1684513577048793	0
1684513577049792	0
1684513577050793	0
