time,volts
1683905121737408,14.843
1683905122258148,14.847
1683905122746030,14.846
1683905123260208,14.85
1683905123744724,14.846
1683905124245510,14.85
1683905124744545,14.843
1683905125245448,14.845
1683905125743784,14.847
1683905126246042,14.845
1683905126733052,14.846
1683905127246421,14.842
1683905127746438,14.841
1683905128261266,14.847
1683905128731512,14.844
1683905129246924,14.842
1683905129744482,14.844
1683905130246266,14.843
1683905130744222,14.834
1683905131259490,14.83
1683905131745888,14.836
1683905132247332,14.834
1683905132744046,14.834
1683905133245020,14.833
