time	rpm
1684764199306345	0
1684764199307347	0
1684764199307347	0
1684764199308346	0
1684764199308346	0
1684764199309345	0
1684764199310347	0
1684764199311348	0
1684764199311348	0
1684764199312345	0
1684764199312345	0
1684764199313345	0
1684764199314346	0
1684764199315346	0
1684764199315346	0
1684764199316346	0
1684764199317346	0
1684764199317346	0
1684764199318346	0
1684764199318346	0
1684764199319403	0
1684764199320346	0
1684764199320346	0
1684764199321342	0
1684764199321342	0
1684764199322345	0
1684764199323346	0
1684764199324347	0
1684764199324347	0
1684764199325548	0
1684764199329604	0
1684764199330346	0
1684764199331357	0
1684764199332346	0
1684764199332346	0
1684764199333346	0
1684764199333346	0
1684764199334346	0
1684764199335346	0
1684764199336346	0
1684764199336346	0
1684764199337346	0
1684764199337346	0
1684764199338346	0
1684764199339346	0
1684764199340390	0
1684764199340390	0
1684764199341346	0
1684764199342342	0
1684764199342342	0
1684764199343344	0
1684764199343344	0
1684764199344345	0
1684764199345343	0
1684764199345343	0
1684764199346346	0
1684764199347427	0
1684764199348347	0
1684764199349344	0
1684764199349344	0
1684764199350347	0
1684764199350347	0
1684764199351346	0
1684764199352347	0
1684764199353346	0
1684764199354345	0
1684764199355343	0
1684764199356345	0
1684764199356345	0
1684764199357510	0
1684764199358344	0
1684764199358344	0
1684764199359346	0
1684764199360344	0
1684764199361343	0
1684764199361343	0
1684764199362446	0
1684764199363346	0
1684764199364345	0
1684764199365345	0
1684764199365345	0
1684764199366346	0
1684764199366346	0
1684764199367346	0
1684764199368347	0
1684764199369343	0
1684764199370347	0
1684764199370347	0
1684764199372346	0
1684764199372346	0
1684764199373345	3466
1684764199374342	3569
1684764199375348	3620
1684764199376345	3735
1684764199376345	3793
1684764199377345	3799
1684764199377345	4010
1684764199378345	4098
1684764199379346	4186
1684764199380347	4250
1684764199380347	4418
1684764199381346	4531
1684764199382350	4693
1684764199382350	4860
1684764199383348	5117
1684764199385346	5283
1684764199390346	5463
1684764199393346	5559
1684764199398345	5737
1684764199402345	5825
1684764199405346	5976
1684764199408345	6085
1684764199410347	6151
1684764199413345	6256
1684764199416349	6328
1684764199418345	6424
1684764199420344	6506
1684764199423344	6597
1684764199428345	6776
1684764199430346	6843
1684764199435410	7025
1684764199438346	7116
1684764199441346	7204
1684764199443347	7282
1684764199446345	7383
1684764199450344	7414
1684764199454346	7430
1684764199455344	7431
1684764199458345	7490
1684764199460346	7514
1684764199464344	7543
1684764199468348	7605
1684764199470344	7631
1684764199475345	7690
1684764199480346	7727
1684764199486347	7808
1684764199488345	7841
1684764199491346	7874
1684764199496344	7933
