time	rpm
1683909888972348	0
1683909889520498	237
1683909890019952	236
1683909890517874	214
1683909891033439	214
1683909891516876	214
1683909892018166	214
1683909892519591	829
1683909893015530	871
1683909893528663	871
1683909894027625	871
1683909894525715	871
1683909895025774	871
1683909895526898	1421
1683909896026209	1457
1683909896526781	1469
1683909897023410	1457
1683909897520869	1457
1683909898018269	1457
1683909898514823	1958
1683909899027988	1985
1683909899528221	1993
1683909900026364	1985
1683909900524240	1985
1683909901022247	1977
1683909901521298	2485
1683909902017340	2500
1683909902519187	2499
1683909903017686	2497
1683909903516570	2492
1683909904019178	2485
1683909904516328	2983
1683909905017025	3009
1683909905514963	3005
1683909906011568	3007
1683909906528634	3001
1683909907016652	3005
1683909907518021	3469
1683909908016828	3511
1683909908515720	3486
1683909909030782	3495
1683909909513044	3494
1683909910029532	3492
1683909910515672	3924
1683909911013286	3924
1683909911525718	3971
1683909912026442	3928
1683909912523981	3946
1683909913026004	3923
1683909913524246	4420
1683909914018945	4344
1683909914514160	4374
1683909915023200	4381
1683909915524954	4502
1683909916012804	4403
1683909916523084	4766
1683909917023519	4785
1683909917524492	4806
1683909918026751	4814
1683909918529994	4801
1683909919032090	4805
1683909919511940	5209
1683909920027724	5281
1683909920510144	5226
1683909921022805	5252
1683909921523843	5242
1683909922022302	5311
1683909922524633	5669
1683909923019888	5733
1683909923522846	5622
1683909924024802	5569
1683909924525569	5719
1683909925025982	5606
1683909925529242	6061
1683909926013656	6027
1683909926516022	5966
1683909927033127	5971
1683909927518796	6023
1683909928011975	5985
1683909928521244	6442
1683909929022046	6367
1683909929521365	6313
1683909930019403	6280
1683909930513559	6389
1683909931031004	6379
1683909931513704	6726
1683909932014616	6685
1683909932514432	6753
1683909933015570	6726
1683909933515473	6710
1683909934015961	6682
1683909934512388	6928
1683909935025750	7055
1683909935525612	7046
1683909936028918	7056
1683909936514214	7104
1683909937019909	7067
1683909937519233	7303
1683909938021248	7222
1683909938523201	7473
1683909939023418	7431
1683909939524277	7296
1683909940018620	7285
1683909940516475	7614
1683909941015277	7661
1683909941512842	7727
1683909942012255	7685
1683909942525011	7766
1683909943027845	7697
1683909943510593	8021
1683909944022243	7953
1683909944536770	7908
1683909945023123	7937
1683909945524871	7964
1683909946026644	7938
1683909946527176	8231
1683909947028108	8220
1683909947528163	8307
1683909948029770	8257
1683909948512288	8246
