time	rpm
1684512821151035	0
1684512821151996	0
1684512821152996	0
1684512821154026	0
1684512821154026	0
1684512821155027	0
1684512821156014	0
1684512821156014	0
1684512821157024	0
1684512821158039	0
1684512821158039	0
1684512821158995	0
1684512821160037	0
1684512821160995	0
1684512821160995	0
1684512821161994	0
1684512821161994	0
1684512821162995	0
1684512821164039	0
1684512821164039	0
1684512821165036	0
1684512821165036	0
1684512821165996	0
1684512821166996	0
1684512821167998	0
1684512821167998	0
1684512821169043	0
1684512821169043	0
1684512821170034	0
1684512821171042	0
1684512821172040	0
1684512821172040	0
1684512821173036	0
1684512821174033	0
1684512821175037	0
1684512821175037	0
1684512821176036	0
1684512821176036	0
1684512821177036	0
1684512821178038	0
1684512821179038	0
1684512821179038	0
1684512821180039	0
1684512821181049	0
1684512821181996	0
1684512821181996	0
1684512821183037	0
1684512821183037	0
1684512821184037	0
1684512821185048	0
1684512821186053	0
1684512821186053	0
1684512821186996	0
1684512821187996	0
1684512821190026	0
1684512821190026	0
1684512821191025	0
1684512821191996	0
1684512821193036	0
1684512821193036	0
1684512821194039	0
1684512821194039	0
1684512821195030	0
1684512821196039	0
1684512821197036	0
1684512821198036	0
1684512821198036	0
1684512821198996	0
1684512821199996	0
1684512821200996	0
1684512821200996	0
1684512821202032	0
1684512821202032	0
1684512821204027	0
1684512821204027	0
1684512821205033	0
1684512821205033	0
1684512821206032	0
1684512821206032	0
1684512821207004	0
1684512821208037	0
1684512821209036	0
1684512821209036	0
1684512821209997	0
1684512821210998	0
1684512821211994	0
1684512821211994	0
1684512821213034	0
1684512821213034	0
1684512821213998	0
1684512821216004	0
1684512821216004	0
1684512821216996	0
1684512821216996	0
1684512821218028	0
1684512821218998	0
1684512821218998	0
1684512821220028	0
1684512821221029	0
1684512821221029	0
1684512821222028	0
1684512821222998	0
1684512821223999	0
1684512821223999	0
1684512821224997	0
1684512821226068	0
1684512821227000	0
1684512821227997	0
1684512821228995	0
1684512821228995	0
1684512821229997	0
1684512821231007	0
1684512821232001	0
1684512821232998	0
1684512821232998	0
1684512821234036	0
1684512821234036	0
1684512821235024	0
1684512821235997	0
1684512821237035	0
1684512821238037	0
1684512821238037	0
1684512821239034	0
1684512821240036	0
1684512821244996	0
1684512821245998	0
1684512821246996	0
1684512821247994	0
1684512821247994	0
1684512821249000	0
1684512821249997	0
1684512821249997	0
1684512821251995	0
1684512821251995	0
1684512821252994	0
1684512821252994	0
1684512821253994	0
1684512821255031	0
1684512821256039	0
1684512821256039	0
1684512821257036	0
1684512821257996	0
1684512821259036	0
1684512821259036	0
1684512821260039	0
1684512821260039	0
1684512821261036	0
1684512821262036	0
1684512821263014	0
1684512821263014	0
1684512821263996	0
1684512821264995	0
1684512821266002	0
1684512821266002	0
1684512821267052	0
1684512821267052	0
1684512821268039	0
1684512821268039	0
1684512821268996	0
1684512821270037	0
1684512821271036	0
1684512821271036	0
1684512821272036	0
1684512821274040	5442
1684512821279037	6539
1684512821280028	6720
1684512821281027	6825
1684512821281027	6914
1684512821281998	7081
1684512821281998	7089
1684512821282997	7287
1684512821284034	7332
1684512821285025	7374
1684512821285025	7447
1684512821286024	7451
1684512821286024	7575
1684512821287025	7618
1684512821288036	7693
1684512821288036	7741
1684512821289037	7775
1684512821289037	7822
1684512821290034	7898
1684512821290996	7947
1684512821292039	7987
1684512821292039	8021
1684512821294996	8101
1684512821297995	8147
1684512821301996	8190
1684512821305036	8266
1684512821319036	8479
1684512821329040	8576
1684512821329040	8616
1684512821330017	8643
1684512821333996	8732
1684512821335036	8736
1684512821338034	8776
1684512821341034	8852
1684512821345027	8891
1684512821346036	8914
1684512821349000	8915
1684512821355036	8919
1684512821356035	8920
1684512821358995	8922
1684512821361036	8925
1684512821367038	8927
1684512821367038	8929
1684512821372996	8933
1684512821373996	8935
1684512821377028	8937
1684512821378994	8939
1684512821383037	8941
1684512821387037	8945
1684512821389039	8947
1684512821391036	8949
1684512821394036	8951
1684512821398998	8955
1684512821400996	8957
1684512821405024	8960
1684512821409036	8963
1684512821412039	8965
1684512821414996	8967
1684512821422036	8974
1684512821426038	8977
1684512821429037	8980
1684512821432000	8982
1684512821435026	8983
1684512821439035	8988
1684512821442038	8990
1684512821445036	8992
1684512821447996	8994
1684512821448998	8996
1684512821454995	8998
1684512821456035	8994
1684512821459036	8991
1684512821462037	8988
1684512821464996	8985
1684512821467026	8980
1684512821473036	8974
1684512821476046	8968
1684512821478036	8965
1684512821480998	8960
1684512821484034	8957
1684512821486034	8954
1684512821489997	8950
1684512821491036	8947
1684512821494036	8944
1684512821496996	8940
1684512821501037	8933
1684512821504036	8929
1684512821507036	8927
1684512821511996	8920
1684512821513996	8917
1684512821519037	8910
1684512821524994	8902
1684512821527997	8899
1684512821528998	8895
1684512821531997	8892
1684512821535033	8889
1684512821539037	8882
1684512821542034	8879
1684512821544997	8875
1684512821545996	8872
1684512821549996	8869
1684512821553995	8862
1684512821557037	8858
1684512821559996	8862
1684512821560996	8871
1684512821564995	8879
1684512821569037	8899
1684512821572039	8909
1684512821575037	8916
1684512821575996	8926
1684512821579995	8935
1684512821582998	8945
1684512821587996	8964
1684512821589032	8972
1684512821590996	8981
1684512821595028	8989
1684512821598996	9009
1684512821602036	9018
1684512821605037	9027
1684512821606037	9036
1684512821609038	9044
1684512821614998	9065
1684512821619037	9080
1684512821622037	9090
1684512821632000	9129
1684512821637030	9146
1684512821640028	9157
1684512821642030	9167
1684512821644040	9175
1684512821647998	9183
1684512821651038	9195
1684512821654998	9210
1684512821655997	9220
1684512821664998	9240
1684512821664998	9241
1684512821665997	9242
1684512821669996	9231
1684512821671996	9224
1684512821676998	9216
1684512821678040	9209
1684512821682995	9196
1684512821683994	9189
1684512821687038	9182
1684512821690040	9175
1684512821692040	9168
1684512821696993	9155
1684512821698996	9147
1684512821705998	9128
1684512821708994	9121
1684512821718994	9092
1684512821722994	9083
1684512821741994	9029
1684512821746994	9014
1684512821749994	9008
1684512821752994	9000
1684512821755037	8993
1684512821759993	8980
1684512821762997	8973
1684512821766002	8965
1684512821768038	8959
1684512821770996	8951
1684512821771999	8942
1684512821777996	8942
1684512821779000	8942
1684512821782998	8942
1684512821786998	8942
1684512821787999	8942
1684512821791032	8942
1684512821794994	8942
1684512821797998	8942
1684512821800038	8942
1684512821801995	8942
1684512821805037	8942
1684512821810996	8942
1684512821812029	8942
1684512821816001	8942
1684512821816998	8942
1684512821819996	8942
1684512821831034	8942
1684512821835037	8942
1684512821838037	8942
1684512821840996	8942
1684512821843993	8942
1684512821848998	8942
1684512821852040	8942
1684512821855999	8942
1684512821861028	8942
1684512821864037	8942
1684512821865998	8942
1684512821868026	8942
1684512821871996	8942
1684512821876994	8942
1684512821878026	8943
1684512821882002	8946
1684512821884026	8949
1684512821885035	8952
1684512821891027	8958
1684512821893036	8962
1684512821896037	8965
1684512821899002	8968
1684512821903035	8973
1684512821905996	8977
1684512821912014	8983
1684512821916037	8989
1684512821918036	8992
1684512821921028	8995
1684512821927034	9001
1684512821928036	9004
1684512821932996	9010
1684512821937028	9013
1684512821941034	9019
1684512821944036	9022
1684512821945036	9026
1684512821949002	9029
1684512821953996	9034
1684512821955027	9037
1684512821958037	9040
1684512821962039	9044
1684512821963036	9047
1684512821965996	9050
1684512821970025	9056
1684512821974025	9059
1684512821977028	9063
1684512821978996	9065
1684512821984026	9070
1684512821987027	9069
1684512821988027	9068
1684512821991026	9067
1684512821993036	9066
1684512821998996	9064
1684512822002038	9063
1684512822004040	9062
1684512822005036	9061
1684512822008036	9060
1684512822019042	9056
1684512822022037	9054
1684512822025036	9053
1684512822029015	9051
1684512822032001	9050
1684512822033029	9049
1684512822036032	9048
1684512822041036	9046
1684512822043998	9045
1684512822046036	9044
1684512822050037	9043
1684512822051037	9042
1684512822058034	9039
1684512822063026	9037
1684512822067028	9036
1684512822069037	9035
1684512822074039	9033
1684512822074039	9033
1684512822077998	9031
1684512822082002	9030
1684512822085035	9029
1684512822086037	9028
1684512822088996	9028
1684512822092993	9029
1684512822095994	9029
1684512822099030	9029
1684512822101996	9030
1684512822106039	9030
1684512822108995	9031
1684512822111036	9031
1684512822117995	9032
1684512822120996	9032
1684512822123993	9033
1684512822127037	9033
1684512822132002	9034
1684512822134996	9034
1684512822137038	9034
1684512822139034	9035
1684512822141037	9035
1684512822144036	9036
1684512822148996	9036
1684512822152036	9037
1684512822154996	9037
1684512822158025	9037
1684512822159027	9038
1684512822165002	9038
1684512822171026	9039
1684512822174028	9040
1684512822180040	9040
1684512822183048	9041
1684512822183996	9041
1684512822187034	9041
1684512822189037	9042
1684512822192037	9042
1684512822196040	9039
1684512822199001	9038
1684512822201996	9037
1684512822206036	9034
1684512822207036	9034
1684512822212040	9031
1684512822214996	9030
1684512822215997	9029
1684512822221038	9026
1684512822223995	9025
1684512822252998	9010
1684512822255998	9009
1684512822258997	9007
1684512822262998	9005
1684512822264998	9004
1684512822268003	9002
1684512822271036	9001
1684512822274998	8998
1684512822277997	8997
1684512822281998	8995
1684512822282996	8994
1684512822288996	8991
1684512822291997	8989
1684512822295999	8987
1684512822299997	8984
1684512822301998	8983
1684512822309995	8981
1684512822319995	8978
1684512822324998	8976
1684512822328038	8976
1684512822330998	8975
1684512822331998	8975
1684512822336037	8974
1684512822340996	8972
1684512822345026	8971
1684512822347999	8970
1684512822353997	8969
1684512822355998	8968
1684512822358035	8968
1684512822359996	8967
1684512822365995	8966
1684512822372995	8964
1684512822375997	8963
1684512822377000	8962
1684512822382999	8962
1684512822385998	8961
1684512822386998	8960
1684512822390000	8959
1684512822392999	8958
1684512822395037	8958
1684512822398007	8957
1684512822403997	8956
1684512822405998	8954
1684512822410036	8952
1684512822412999	8951
1684512822421995	8945
1684512822426042	8944
1684512822434000	8940
1684512822438999	8937
1684512822442040	8935
1684512822446000	8933
1684512822449000	8932
1684512822450004	8930
1684512822453998	8929
1684512822455040	8928
1684512822458000	8926
1684512822461000	8925
1684512822464004	8923
1684512822467997	8921
1684512822471001	8919
1684512822473996	8918
1684512822476996	8916
1684512822481002	8914
1684512822483998	8913
1684512822486004	8911
1684512822489000	8910
1684512822490998	8909
1684512822494042	8907
1684512822498000	8905
1684512822500994	8903
1684512822502994	8902
1684512822508999	8900
1684512822515002	8900
1684512822520038	8900
1684512822521035	8900
1684512822525002	8900
1684512822526996	8900
1684512822529997	8900
1684512822534998	8900
1684512822537038	8900
1684512822539037	8900
1684512822541997	8900
1684512822544032	8900
1684512822549004	8900
1684512822551036	8900
1684512822554034	8900
1684512822556040	8900
1684512822559036	8900
1684512822560996	8900
1684512822566996	8900
1684512822570042	8900
1684512822571037	8900
1684512822573997	8900
1684512822577042	8900
1684512822581996	8900
1684512822584038	8900
1684512822586998	8900
1684512822588998	8900
1684512822595038	8900
1684512822596042	8900
1684512822600000	8900
1684512822601000	8900
1684512822605996	8900
1684512822607996	8900
1684512822612996	8900
1684512822615001	8902
1684512822617029	8906
1684512822619996	8911
1684512822624997	8920
1684512822630012	8924
1684512822631003	8928
1684512822633018	8933
1684512822640996	8952
1684512822648014	8961
1684512822649035	8966
1684512822652048	8969
1684512822654998	8974
1684512822659038	8984
1684512822661996	8988
1684512822665012	8992
1684512822666999	8996
1684512822674038	9010
1684512822681999	9023
1684512822687994	9033
1684512822690000	9037
1684512822692040	9042
1684512822695995	9050
1684512822700042	9056
1684512822702999	9060
1684512822706040	9068
1684512822709001	9073
1684512822710036	9073
1684512822717997	9085
1684512822719030	9085
1684512822745994	9046
1684512822750998	9038
1684512822755042	9030
1684512822760996	9023
1684512822764002	9018
1684512822764998	9014
1684512822767998	9011
1684512822770036	9006
1684512822775994	8998
1684512822779038	8994
1684512822779994	8991
1684512822783037	8987
1684512822785999	8983
1684512822793037	8971
1684512822797996	8963
1684512822801001	8958
1684512822807038	8951
1684512822807038	8950
1684512822810996	8944
1684512822818038	8931
1684512822824000	8923
1684512822826998	8918
1684512822828996	8915
1684512822831997	8918
1684512822833995	8920
1684512822838996	8926
1684512822842996	8930
1684512822846996	8934
1684512822852002	8939
1684512822853038	8942
1684512822855999	8944
1684512822857996	8947
1684512822864036	8953
1684512822865038	8955
1684512822868996	8958
1684512822871998	8961
1684512822876038	8966
1684512822878037	8968
1684512822879998	8971
1684512822884996	8974
1684512822885996	8976
1684512822888026	8979
1684512822892998	8984
1684512822896998	8988
1684512822899006	8990
1684512822901998	8993
1684512822904998	8998
1684512822908998	9001
1684512822911023	9003
1684512822917052	9009
1684512822924998	9019
1684512822930998	9024
1684512822934004	9023
1684512822937035	9016
1684512822937997	9009
1684512822942041	9002
1684512822947002	8986
1684512822951998	8970
1684512822956038	8957
1684512822958040	8949
1684512822960998	8942
1684512822964000	8934
1684512822973001	8905
1684512822982002	8882
1684512822985997	8867
1684512822988037	8859
1684512822991041	8853
1684512822996998	8837
1684512822998002	8830
1684512823001997	8821
1684512823004002	8815
1684512823005998	8808
1684512823009039	8800
1684512823010036	8793
1684512823015998	8778
1684512823024005	8754
1684512823028996	8740
1684512823034029	8724
1684512823037997	8723
1684512823043995	8737
1684512823049999	8749
1684512823051998	8755
1684512823053997	8760
1684512823056996	8767
1684512823058996	8773
1684512823064001	8785
1684512823066998	8791
1684512823068996	8798
1684512823071998	8805
1684512823074996	8811
1684512823079028	8823
1684512823082010	8829
1684512823084028	8836
1684512823085997	8843
1684512823088996	8849
1684512823093998	8861
1684512823096997	8867
1684512823099004	8873
1684512823101999	8879
1684512823105997	8891
1684512823108996	8898
1684512823114996	8911
1684512823116999	8919
1684512823122026	8931
1684512823128994	8938
1684512823128994	8949
1684512823132002	8955
1684512823132997	8961
1684512823135998	8968
1684512823139035	8971
1684512823142000	8971
1684512823143997	8970
1684512823149997	8968
1684512823152037	8967
1684512823154996	8966
1684512823155995	8965
1684512823162998	8963
1684512823163996	8962
1684512823166999	8961
1684512823170000	8960
1684512823171998	8959
1684512823174022	8958
1684512823176998	8957
1684512823183996	8955
1684512823186996	8954
1684512823186996	8953
1684512823188993	8952
1684512823195028	8950
1684512823196999	8949
1684512823199997	8948
1684512823202996	8947
1684512823203995	8946
1684512823206996	8945
1684512823211008	8943
1684512823219998	8940
1684512823225000	8938
1684512823248997	8928
1684512823252995	8930
1684512823256998	8932
1684512823259998	8934
1684512823261998	8935
1684512823265005	8936
1684512823265998	8938
1684512823271996	8940
1684512823274996	8942
1684512823276015	8943
1684512823279998	8945
1684512823285994	8947
1684512823286995	8948
1684512823288996	8950
1684512823290998	8951
1684512823294999	8953
1684512823298998	8954
1684512823301998	8957
1684512823305010	8958
1684512823307020	8959
1684512823309999	8961
1684512823315003	8963
1684512823317048	8965
1684512823324995	8969
1684512823330996	8972
1684512823332042	8972
1684512823338000	8976
1684512823342996	8979
1684512823343995	8980
1684512823348002	8981
1684512823350031	8983
1684512823352999	8984
1684512823356996	8982
1684512823360002	8981
1684512823361996	8980
1684512823365044	8979
1684512823368030	8977
1684512823372038	8976
1684512823376002	8974
1684512823379998	8972
1684512823386998	8970
1684512823388047	8969
1684512823389996	8968
1684512823392026	8967
1684512823396996	8966
1684512823400029	8964
1684512823401997	8963
1684512823403996	8962
1684512823407994	8961
1684512823413062	8959
1684512823415045	8958
1684512823417074	8957
1684512823426037	8953
1684512823430002	8951
1684512823432998	8950
1684512823434996	8949
1684512823437996	8948
1684512823438995	8947
1684512823445996	8945
1684512823449032	8944
1684512823451030	8943
1684512823453037	8942
1684512823455998	8942
1684512823460997	8942
1684512823463020	8943
1684512823466018	8943
1684512823469996	8945
1684512823472034	8945
1684512823476998	8947
1684512823481058	8947
1684512823483998	8948
1684512823488041	8949
1684512823489996	8950
1684512823492061	8951
1684512823494996	8951
1684512823501998	8953
1684512823501998	8953
1684512823506027	8954
1684512823506997	8955
1684512823512997	8956
1684512823517998	8957
1684512823523000	8959
1684512823525037	8960
1684512823531040	8961
1684512823534020	8961
1684512823537997	8963
1684512823540998	8963
1684512823543024	8964
1684512823545997	8965
