time	rpm
1684940620414792	0
1684940620415806	0
1684940620418073	0
1684940620418073	0
1684940620419054	0
1684940620420530	0
1684940620421045	0
1684940620423226	0
1684940620424538	0
1684940620425552	0
1684940620426550	0
1684940620427555	0
1684940620429550	0
1684940620431059	0
1684940620431059	0
1684940620432298	0
1684940620433298	0
1684940620433298	0
1684940620434298	0
1684940620435453	0
1684940620435453	0
1684940620437870	0
1684940620439016	0
1684940620441106	0
1684940620443117	0
1684940620443117	0
1684940620444624	0
1684940620444624	0
1684940620445633	0
1684940620446807	0
1684940620447818	0
1684940620448813	0
1684940620450834	0
1684940620450834	0
1684940620452840	0
1684940620454840	0
1684940620456841	0
1684940620458862	0
1684940620460354	0
1684940620462193	0
1684940620463888	0
1684940620465892	0
1684940620467890	0
1684940620468879	0
1684940620470560	0
1684940620473114	0
1684940620475114	0
1684940620476562	0
1684940620477582	0
1684940620478572	0
1684940620481607	0
1684940620482618	0
1684940620483618	0
1684940620484618	0
1684940620485619	0
1684940620487621	0
1684940620490156	0
1684940620492714	0
1684940620493707	0
1684940620495712	0
1684940620496709	0
1684940620498707	0
1684940620501757	0
1684940620502775	0
1684940620503756	0
1684940620505754	0
1684940620506756	0
1684940620508780	0
1684940620510819	0
1684940620511826	0
1684940620512826	0
1684940620514834	0
1684940620516833	0
1684940620518828	0
1684940620520851	0
1684940620521858	0
1684940620522867	0
1684940620525857	0
1684940620526858	0
1684940620528220	0
1684940620530226	0
1684940620530737	0
1684940620532269	0
1684940620532748	0
1684940620534749	0
1684940620538750	0
1684940620540778	0
1684940620541786	0
1684940620543793	0
1684940620545847	0
1684940620550934	8738
1684940620553947	8797
1684940620555943	8829
1684940620557960	8857
1684940620558960	8885
1684940620560992	8920
1684940620562013	8978
1684940620564005	9005
1684940620565018	9071
1684940620567024	9099
1684940620569019	9102
1684940620571045	9156
1684940620572381	9185
1684940620573052	9222
1684940620575072	9250
1684940620577111	9278
1684940620578123	9340
1684940620579123	9371
1684940620580140	9398
1684940620580888	9444
1684940620582972	9448
1684940620584958	9458
1684940620588009	9462
1684940620588945	9466
1684940620590520	9470
1684940620592044	9475
1684940620593036	9484
1684940620595037	9489
1684940620597139	9497
1684940620599073	9507
1684940620601060	9517
1684940620603121	9522
1684940620606163	9527
1684940620608163	9531
1684940620610073	9536
1684940620611167	9544
1684940620612182	9550
1684940620613185	9553
1684940620615184	9559
1684940620618262	9562
1684940620620183	9572
1684940620620806	9576
1684940620622726	9576
1684940620624720	9585
1684940620626717	9589
1684940620628713	9595
1684940620630224	9599
1684940620630876	9604
1684940620632344	9617
1684940620632841	9622
1684940620635882	9628
1684940620638905	9626
1684940620638905	9623
1684940620641002	9620
1684940620642047	9617
1684940620644018	9611
1684940620646242	9608
1684940620648336	9605
1684940620650773	9602
1684940620652788	9599
1684940620653785	9587
1684940620658789	9580
1684940620661844	9577
1684940620663021	9574
1684940620665839	9571
1684940620668903	9569
1684940620673033	9562
1684940620678028	9559
1684940620680478	9556
1684940620682426	9554
1684940620683030	9550
1684940620686028	9547
1684940620691570	9542
1684940620693198	9538
1684940620697246	9536
1684940620699192	9532
1684940620703717	9526
1684940620707714	9521
1684940620712814	9514
1684940620716798	9511
1684940620718815	9508
1684940620721058	9505
1684940620724072	9502
1684940620728076	9506
1684940620732137	9510
1684940620735151	9514
1684940620737153	9518
1684940620740167	9522
1684940620741978	9526
1684940620750766	9542
1684940620757912	9551
1684940620760329	9556
1684940620761861	9560
1684940620764954	9564
1684940620767876	9568
1684940620768864	9572
1684940620770951	9576
1684940620774062	9580
1684940620778975	9589
1684940620782322	9592
1684940620784338	9596
1684940620787328	9601
1684940620789331	9604
1684940620793256	9612
1684940620796446	9616
1684940620799449	9621
1684940620802302	9625
1684940620803988	9629
1684940620808994	9637
1684940620811556	9642
1684940620813686	9645
1684940620817822	9650
1684940620822284	9658
1684940620824347	9662
1684940620826488	9666
1684940620830063	9669
1684940620831076	9670
1684940620833717	9668
1684940620836962	9666
1684940620840904	9663
1684940620843772	9662
1684940620846725	9660
1684940620857236	9653
1684940620863767	9649
1684940620865743	9647
1684940620867762	9646
1684940620870261	9644
1684940620872116	9643
1684940620875839	9641
1684940620880343	9637
1684940620881866	9636
1684940620885872	9634
1684940620891922	9631
1684940620894004	9630
1684940620895022	9628
1684940620898030	9626
1684940620901172	9624
1684940620903231	9622
1684940620907242	9619
1684940620912038	9616
1684940620916045	9614
1684940620920856	9611
1684940620922881	9609
1684940620925877	9607
1684940620928118	9604
1684940620932575	9602
1684940620935596	9601
1684940620937586	9600
1684940620943391	9595
1684940620946905	9591
1684940620959937	9579
1684940620962470	9574
1684940620966470	9571
1684940620970000	9568
1684940620971015	9566
1684940620975513	9561
1684940620977876	9558
1684940620983151	9553
1684940620990164	9545
1684940620993114	9542
1684940620998131	9537
1684940621000132	9535
1684940621003192	9531
1684940621006194	9529
1684940621009198	9526
1684940621013654	9521
1684940621016654	9519
1684940621018660	9515
1684940621020729	9513
1684940621025816	9508
1684940621028826	9505
1684940621030884	9502
1684940621032901	9500
1684940621036896	9497
1684940621040422	9492
1684940621042948	9485
1684940621044609	9486
1684940621048632	9487
1684940621053682	9489
1684940621063899	9493
1684940621067904	9496
1684940621069897	9496
1684940621073214	9498
1684940621076197	9499
1684940621080711	9501
1684940621083981	9502
1684940621085972	9503
1684940621089956	9505
1684940621092035	9506
1684940621095490	9507
1684940621098482	9508
1684940621101543	9509
1684940621104573	9510
1684940621106558	9511
1684940621110072	9513
1684940621114622	9514
1684940621118636	9515
1684940621120150	9517
1684940621120776	9517
1684940621125788	9520
1684940621128522	9521
1684940621130032	9522
1684940621132575	9523
1684940621136559	9524
1684940621142468	9527
1684940621155884	9529
1684940621157874	9529
1684940621161140	9529
1684940621167163	9530
1684940621169162	9530
1684940621170886	9531
1684940621173898	9531
1684940621176898	9531
1684940621182959	9532
1684940621190474	9533
1684940621192017	9533
1684940621194014	9534
1684940621197017	9534
1684940621199032	9534
1684940621201078	9535
1684940621209104	9536
1684940621213140	9536
1684940621217145	9537
1684940621219142	9537
1684940621222132	9537
1684940621223132	9538
1684940621231092	9539
1684940621239123	9540
1684940621240732	9540
1684940621247190	9541
1684940621249112	9541
1684940621250774	9541
1684940621258861	9542
1684940621265922	9542
1684940621270525	9542
1684940621275145	9542
1684940621277062	9542
1684940621279064	9542
1684940621283221	9542
1684940621285237	9542
1684940621289216	9542
1684940621291850	9542
1684940621294750	9542
1684940621297836	9542
1684940621298766	9542
1684940621305914	9542
1684940621310404	9542
1684940621313947	9542
1684940621316948	9542
1684940621319938	9542
1684940621320951	9542
1684940621326990	9542
1684940621329020	9542
1684940621332092	9542
1684940621335103	9542
1684940621338097	9542
1684940621341122	9542
1684940621344149	9542
1684940621347681	9542
1684940621348674	9542
1684940621351755	9542
1684940621353746	9542
1684940621362918	9542
1684940621366918	9542
1684940621368914	9542
1684940621372800	9542
1684940621374780	9542
1684940621376879	9542
1684940621382444	9543
1684940621384946	9543
1684940621387946	9543
1684940621389946	9543
1684940621394545	9544
1684940621397573	9544
1684940621400084	9544
1684940621402442	9544
1684940621405755	9544
1684940621408746	9545
1684940621411810	9545
1684940621414809	9545
1684940621417805	9545
1684940621420336	9545
1684940621423886	9546
1684940621426884	9546
1684940621428889	9546
1684940621433120	9546
1684940621435131	9546
1684940621437117	9547
1684940621444048	9547
1684940621447661	9547
1684940621455814	9548
1684940621466876	9557
1684940621472227	9557
1684940621475440	9557
1684940621477422	9557
1684940621483131	9557
1684940621485050	9557
1684940621488050	9557
1684940621490071	9557
1684940621494062	9557
1684940621497132	9557
1684940621500056	9557
1684940621501114	9557
1684940621505125	9557
1684940621508233	9557
1684940621510132	9557
1684940621512258	9557
1684940621515270	9557
1684940621520776	9557
