time	pwm_percent
1684944033890788	2
1684944036899642	7
1684944039913827	12
1684944042931041	17
1684944045940508	22
1684944048942651	27
1684944051954128	32
1684944054966996	37
1684944057982402	42
1684944060996142	47
1684944064001772	52
1684944067008712	57
1684944070013231	62
1684944073024208	67
1684944076039425	72
1684944079047326	77
1684944082048510	82
1684944085055660	87
1684944088072242	92
1684944091086072	97
1684944094093431	100
1684944097104453	95
1684944099117514	90
1684944101119816	85
1684944103129761	80
1684944105130509	75
1684944107135196	70
1684944109136577	65
1684944111138418	60
1684944113141540	55
1684944115153760	50
1684944117169136	45
1684944119184283	40
1684944121199998	35
1684944123215969	30
1684944125229052	25
1684944127246627	20
1684944129257706	15
1684944131268502	10
1684944133275074	5
