time	rpm
1684944903804082	0
1684944903805074	0
1684944903805074	0
1684944903807089	0
1684944903808302	0
1684944903808302	0
1684944903809328	0
1684944903809328	0
1684944903811316	0
1684944903814329	0
1684944903822846	0
1684944903828847	0
1684944903830847	0
1684944903833846	0
1684944903835846	0
1684944903839329	0
1684944903843552	0
1684944903845552	0
1684944903848651	0
1684944903853557	0
1684944903854560	0
1684944903860553	0
1684944903866557	1
1684944903868557	4
1684944903870558	6
1684944903873558	10
1684944903876102	13
1684944903879288	16
1684944903883680	21
1684944903885777	24
1684944903892010	31
1684944903894055	34
1684944903896121	34
1684944903899462	39
1684944903905801	48
1684944903911102	54
1684944903913234	57
1684944903916278	60
1684944903920781	66
1684944903928795	75
1684944903933804	81
1684944903935794	84
1684944903938785	87
1684944903940805	90
1684944903943806	93
1684944903947810	98
1684944903950787	101
1684944903953805	105
1684944903957804	110
1684944903958787	110
1684944903965804	120
1684944903971248	129
1684944903975220	133
1684944903979141	136
1684944903983221	141
1684944903985212	143
1684944903988212	145
1684944903990376	148
1684944903994375	150
1684944903998376	155
1684944904002404	159
1684944904013406	169
1684944904019069	175
1684944904022230	177
1684944904023229	179
1684944904028225	184
1684944904031229	186
1684944904033230	189
1684944904036228	191
1684944904038237	193
1684944904041228	196
1684944904043226	198
1684944904046230	201
1684944904051227	205
1684944904053229	208
1684944904057230	210
1684944904058226	213
1684944904061228	215
1684944904065226	220
1684944904068226	222
1684944904071240	225
1684944904073227	227
1684944904080230	232
1684944904084228	234
1684944904086227	235
1684944904090228	239
1684944904094229	240
1684944904097230	242
1684944904098230	244
1684944904103226	247
1684944904114235	255
1684944904121034	260
1684944904125039	261
1684944904132039	266
1684944904137045	269
1684944904142042	273
1684944904147038	277
1684944904150039	279
1684944904152039	280
1684944904155187	282
1684944904157190	284
1684944904160188	286
1684944904164187	289
1684944904167188	290
1684944904171187	294
1684944904176188	298
1684944904181505	300
1684944904184502	300
1684944904186505	300
1684944904190504	300
1684944904191586	300
1684944904194593	300
1684944904199595	300
1684944904201596	300
1684944904204596	300
1684944904206604	300
1684944904211601	300
1684944904217600	300
1684944904222115	300
1684944904225164	300
1684944904228164	300
1684944904230168	300
1684944904233162	300
1684944904237163	300
1684944904240162	300
1684944904245163	300
1684944904245163	300
1684944904250162	300
1684944904252163	300
1684944904255162	300
1684944904258163	300
1684944904260162	300
1684944904263167	300
1684944904267164	300
1684944904269162	300
1684944904272164	300
1684944904275166	300
1684944904280163	300
1684944904283163	300
1684944904285166	300
1684944904287163	300
1684944904289162	300
1684944904295162	301
1684944904298168	301
1684944904300163	301
1684944904305163	302
1684944904310171	303
1684944904315484	303
1684944904319490	304
1684944904323012	304
1684944904326005	305
1684944904331005	305
1684944904333008	306
1684944904336005	306
1684944904338005	306
1684944904343005	307
1684944904346005	307
1684944904348006	308
1684944904350109	308
1684944904353108	308
1684944904356108	309
1684944904363110	310
1684944904368109	310
1684944904370112	311
1684944904373110	311
1684944904376112	311
1684944904378110	312
1684944904381112	312
1684944904387111	313
1684944904388109	313
1684944904392110	314
1684944904394109	314
1684944904401110	314
1684944904409115	314
1684944904414115	314
1684944904419116	314
1684944904420116	314
1684944904423184	314
1684944904425186	314
1684944904430454	314
1684944904431452	314
1684944904432455	314
1684944904435451	314
1684944904438452	314
1684944904445451	314
1684944904448452	314
1684944904453456	314
1684944904455451	314
1684944904459456	314
1684944904462452	314
1684944904463456	314
1684944904468454	314
1684944904470455	314
1684944904473454	314
1684944904475456	314
1684944904483453	314
1684944904483453	314
1684944904485455	314
1684944904488455	314
1684944904490455	314
1684944904493454	314
1684944904498455	313
1684944904500451	313
1684944904503454	313
1684944904508575	312
1684944904513675	311
1684944904516661	311
1684944904521296	310
1684944904528391	309
1684944904531304	309
1684944904536307	308
1684944904538303	308
1684944904542304	307
1684944904543302	307
1684944904548301	306
1684944904551437	306
1684944904553438	306
1684944904556444	305
1684944904558438	305
1684944904563437	305
1684944904566478	304
1684944904569442	304
1684944904571540	303
1684944904574440	303
1684944904578437	302
1684944904581436	302
1684944904583438	302
1684944904586438	301
1684944904588438	301
1684944904592439	301
1684944904596437	300
1684944904598437	300
1684944904601438	299
1684944904603440	284
1684944904607444	283
1684944904617446	281
1684944904619442	280
1684944904626500	278
1684944904631633	277
1684944904636632	275
1684944904639633	275
1684944904644704	273
1684944904646704	273
1684944904651798	271
1684944904655796	271
1684944904655796	271
1684944904659786	269
1684944904661807	269
1684944904664789	268
1684944904667787	267
1684944904669805	267
1684944904676792	265
1684944904679792	264
1684944904684794	263
1684944904687799	262
1684944904689790	261
1684944904691784	261
1684944904694788	260
1684944904699790	259
1684944904706897	257
1684944904709905	257
1684944904715914	257
1684944904716947	257
1684944904719922	257
1684944904721505	257
1684944904724607	257
1684944904727593	257
1684944904731603	257
1684944904736606	257
1684944904736606	257
1684944904741600	257
1684944904744592	257
1684944904746601	257
1684944904749602	257
1684944904756597	257
1684944904759594	257
1684944904764587	257
1684944904766587	257
1684944904769598	257
1684944904771592	257
1684944904774594	257
1684944904778586	257
1684944904781597	257
1684944904784588	257
1684944904787606	257
1684944904789593	257
1684944904794586	257
1684944904796596	257
1684944904799594	257
1684944904801594	257
1684944904804599	257
1684944904809653	257
1684944904811680	256
1684944904819698	255
1684944904822213	255
1684944904826320	254
1684944904832317	253
1684944904835324	253
1684944904841311	252
1684944904843225	252
1684944904845325	252
1684944904847300	251
1684944904851324	251
1684944904855299	250
1684944904858313	250
1684944904859300	249
1684944904862311	249
1684944904865300	249
1684944904870244	248
1684944904873322	247
1684944904875313	247
1684944904878324	247
1684944904882326	246
1684944904884299	246
1684944904890301	245
1684944904890301	245
1684944904892308	245
1684944904897300	244
1684944904901329	243
1684944904904308	243
1684944904907419	243
1684944904907419	242
1684944904917413	242
1684944904923087	242
1684944904928087	242
1684944904935064	242
1684944904938108	242
1684944904946110	242
1684944904946110	242
1684944904948089	242
1684944904951121	242
1684944904954110	242
1684944904960082	242
1684944904964088	242
1684944904969081	242
1684944904971107	242
1684944904973082	242
1684944904976096	242
1684944904979084	242
1684944904985082	242
1684944904991096	242
1684944904991096	242
1684944904996091	242
1684944904999096	242
1684944905001012	242
1684944905004106	242
1684944905007091	242
1684944905014201	242
1684944905018179	242
1684944905020178	242
1684944905023878	242
1684944905025884	242
1684944905028874	242
1684944905032984	242
1684944905035970	242
1684944905040971	242
1684944905042988	242
1684944905042988	242
1684944905048652	242
1684944905050652	242
1684944905053664	242
1684944905055646	242
1684944905058883	242
1684944905065799	242
1684944905068800	242
1684944905073804	242
1684944905075801	242
1684944905078800	242
1684944905080799	242
1684944905085803	242
1684944905090806	242
1684944905095810	242
1684944905098835	242
1684944905103802	242
1684944905112848	242
1684944905118848	242
1684944905120844	242
1684944905123396	242
1684944905128395	242
1684944905133440	242
1684944905136406	242
1684944905138404	242
1684944905140410	242
1684944905143406	242
1684944905151343	242
1684944905158814	242
1684944905162031	242
1684944905168571	242
1684944905173942	242
1684944905177059	242
1684944905180188	242
1684944905183298	242
1684944905190194	242
1684944905194194	242
1684944905195194	242
1684944905198193	242
1684944905201690	242
1684944905203649	242
1684944905208772	242
1684944905216784	242
1684944905219782	242
1684944905222308	242
1684944905226358	242
1684944905229313	242
1684944905231400	242
1684944905234405	242
1684944905239404	242
1684944905241498	242
1684944905244416	242
1684944905247919	242
1684944905249920	242
1684944905256004	242
1684944905257002	242
1684944905259993	242
1684944905261993	242
1684944905267011	242
1684944905270015	242
1684944905272010	242
1684944905275024	242
1684944905277014	242
1684944905281998	242
1684944905285001	242
1684944905289000	242
1684944905294994	242
1684944905297026	242
1684944905300016	242
1684944905302004	242
1684944905304996	242
1684944905310079	242
1684944905315078	242
1684944905318093	242
1684944905324777	242
1684944905329778	242
1684944905334781	242
1684944905337781	242
1684944905341782	242
1684944905344957	242
1684944905346634	242
1684944905349631	242
1684944905352635	242
1684944905356638	242
1684944905359639	242
1684944905362631	242
1684944905364624	242
1684944905369628	242
1684944905376623	242
1684944905379660	242
1684944905383641	242
1684944905387629	242
1684944905389629	242
1684944905392628	242
1684944905394626	242
1684944905397625	242
1684944905404638	242
1684944905407632	242
1684944905414724	242
1684944905422723	242
1684944905425392	242
1684944905429391	242
1684944905432403	242
1684944905435400	242
1684944905437408	242
1684944905442401	242
1684944905444395	242
1684944905447406	242
1684944905450408	242
1684944905452398	242
1684944905454403	242
1684944905460398	242
1684944905462368	242
1684944905465408	242
1684944905467396	242
1684944905470402	242
1684944905475412	242
1684944905477401	242
1684944905482393	242
1684944905485368	242
1684944905487402	242
1684944905491399	242
1684944905492408	242
1684944905494407	242
1684944905497392	242
1684944905502401	242
1684944905505401	242
1684944905507351	242
1684944905515445	242
1684944905518442	242
1684944905525120	242
1684944905532112	242
1684944905533123	242
1684944905536136	242
1684944905539118	242
1684944905541130	242
1684944905544117	242
1684944905547118	242
1684944905552120	242
1684944905554120	242
1684944905557129	242
1684944905559123	242
1684944905564111	242
1684944905568134	242
1684944905572112	242
1684944905577116	242
1684944905579120	242
1684944905581115	242
1684944905584119	242
1684944905589117	242
1684944905592144	242
1684944905594118	242
1684944905597129	242
1684944905599121	242
1684944905602126	242
1684944905610232	242
1684944905618216	242
1684944905623802	242
1684944905626884	242
1684944905628884	242
1684944905630896	242
1684944905633884	242
1684944905638885	242
1684944905640888	242
1684944905643884	242
1684944905646884	242
1684944905648898	242
1684944905651889	242
1684944905655888	242
1684944905658887	242
1684944905661890	242
1684944905664253	242
1684944905668277	242
1684944905673351	242
1684944905676353	242
1684944905680334	242
1684944905683336	242
1684944905686350	242
1684944905688346	242
1684944905691365	242
1684944905695353	242
1684944905698344	242
1684944905701342	242
1684944905703343	242
1684944905708345	242
1684944905716428	242
1684944905719430	242
1684944905722444	242
1684944905726557	242
1684944905729564	242
1684944905731552	242
1684944905734558	242
1684944905737557	242
1684944905741569	242
1684944905744554	242
1684944905749560	242
1684944905751576	242
1684944905754562	242
1684944905756562	242
1684944905759559	242
1684944905761565	242
1684944905764562	242
1684944905768560	242
1684944905771558	242
1684944905775558	242
1684944905776557	242
1684944905779558	242
1684944905782564	242
1684944905786556	242
1684944905789558	242
1684944905792562	242
1684944905794562	242
1684944905799560	242
1684944905801558	242
1684944905804562	242
1684944905808148	242
1684944905809854	242
1684944905814318	242
1684944905823790	242
1684944905826082	242
1684944905836455	242
1684944905839846	242
1684944905844384	242
1684944905846382	242
1684944905849388	242
1684944905854375	242
1684944905859384	242
1684944905864331	242
1684944905866375	242
1684944905869381	242
1684944905872302	242
1684944905874400	242
1684944905879378	242
1684944905881376	242
1684944905884389	242
1684944905887404	242
1684944905889393	242
1684944905894334	242
1684944905897376	242
1684944905899386	242
1684944905901378	242
1684944905904402	242
1684944905909474	242
1684944905911464	242
1684944905914489	242
1684944905918471	242
1684944905919477	242
1684944905921477	242
1684944905927174	242
1684944905929164	242
1684944905934176	242
1684944905942178	242
1684944905942178	242
1684944905943176	242
1684944905945173	242
1684944905948349	242
1684944905951031	242
1684944905953022	242
1684944905955031	242
1684944905960040	242
1684944905963024	242
1684944905966025	242
1684944905968020	242
1684944905973025	242
1684944905978034	242
1684944905983016	242
1684944905985031	242
1684944905988018	242
1684944905991021	242
1684944905993021	242
1684944905998026	242
1684944906001024	242
1684944906003022	242
1684944906005026	242
1684944906008028	242
1684944906015120	242
1684944906023112	242
1684944906027791	242
1684944906030799	242
1684944906032792	242
1684944906034795	242
1684944906037789	242
1684944906042790	242
1684944906045794	242
1684944906047790	242
1684944906050811	242
1684944906052792	242
1684944906055799	242
1684944906059791	242
1684944906062806	242
1684944906064726	242
1684944906067792	242
1684944906072803	242
1684944906077790	242
1684944906080797	242
1684944906084790	242
1684944906087714	242
1684944906092794	242
1684944906095810	242
1684944906098799	242
1684944906100800	242
1684944906102798	242
1684944906105804	242
1684944906107794	242
1684944906115886	242
1684944906117876	242
1684944906120886	242
1684944906125562	242
1684944906127547	242
1684944906130556	242
1684944906133553	242
1684944906135504	242
1684944906142544	242
1684944906145551	242
1684944906150557	242
1684944906152542	242
1684944906155552	242
1684944906158469	242
1684944906160551	242
1684944906162550	242
1684944906167558	242
1684944906170545	242
1684944906172556	242
1684944906175548	242
1684944906182544	242
1684944906188560	242
1684944906190553	242
1684944906192552	242
1684944906195550	242
1684944906200544	242
1684944906202552	242
1684944906205552	242
1684944906210641	242
1684944906215636	242
1684944906220638	242
1684944906223641	242
1684944906225225	242
1684944906229307	242
1684944906231308	242
1684944906234312	242
1684944906238320	242
1684944906240312	242
1684944906243313	242
1684944906245309	242
1684944906252317	242
1684944906252317	242
1684944906256307	242
1684944906258312	242
1684944906260320	242
1684944906263312	242
1684944906268313	242
1684944906270320	242
1684944906273318	242
1684944906276316	242
1684944906279312	242
1684944906280313	242
1684944906285308	242
1684944906288319	242
1684944906290320	242
1684944906293332	242
1684944906298341	242
1684944906303308	242
1684944906308312	242
1684944906315398	242
1684944906322407	242
1684944906323412	242
1684944906328112	242
1684944906331102	242
1684944906336113	242
1684944906339110	242
1684944906342095	242
1684944906344112	242
1684944906349092	242
1684944906351102	242
1684944906354111	242
1684944906356099	242
1684944906361117	242
1684944906364099	242
1684944906368100	242
1684944906369105	242
1684944906371106	242
1684944906374094	242
1684944906377109	242
1684944906381094	242
1684944906383100	242
1684944906386112	242
1684944906389108	242
1684944906395106	242
1684944906396102	242
1684944906399098	242
1684944906402103	242
1684944906404106	242
1684944906409113	242
1684944906411190	242
1684944906418196	242
1684944906421192	242
1684944906426891	242
1684944906429895	242
1684944906431886	242
1684944906433888	242
1684944906436895	242
1684944906439892	242
1684944906443894	242
1684944906446892	242
1684944906448891	242
1684944906451903	242
1684944906455018	242
1684944906459100	242
1684944906462093	242
1684944906465098	242
1684944906467098	242
1684944906472092	242
1684944906474098	242
1684944906480098	242
1684944906484116	242
1684944906487122	242
1684944906490098	242
1684944906492096	242
1684944906496098	242
1684944906499104	242
1684944906502101	242
1684944906504101	242
1684944906507094	242
1684944906510101	242
1684944906517192	242
1684944906520186	242
1684944906521195	242
1684944906526874	242
1684944906529888	242
1684944906534872	242
1684944906537790	242
1684944906539788	242
1684944906542870	242
1684944906544882	242
1684944906546876	242
1684944906549885	242
1684944906552881	242
1684944906557881	242
1684944906559878	242
1684944906564879	242
1684944906567876	242
1684944906571884	242
1684944906571884	242
1684944906574878	242
1684944906577884	242
1684944906579880	242
1684944906582888	242
1684944906586884	242
1684944906589882	242
1684944906591876	242
1684944906595896	242
1684944906597879	242
1684944906602866	242
1684944906604874	242
1684944906607868	242
1684944906609874	242
1684944906612976	242
1684944906619884	242
1684944906626568	242
1684944906627494	242
1684944906630486	242
1684944906632489	242
1684944906634491	242
1684944906642490	242
1684944906645488	242
1684944906647491	242
1684944906653491	242
1684944906655488	242
1684944906657490	242
1684944906660485	242
1684944906665491	242
1684944906670487	242
1684944906677486	242
1684944906685486	242
1684944906688486	242
1684944906693488	242
1684944906695487	242
1684944906700486	242
1684944906702485	242
1684944906708487	242
1684944906715494	242
1684944906718492	242
1684944906723512	242
1684944906731048	242
1684944906735066	242
1684944906739123	242
1684944906741128	242
1684944906744125	242
1684944906746136	242
1684944906751122	242
1684944906752128	242
1684944906756145	242
1684944906759128	242
1684944906761132	242
1684944906764130	242
1684944906769125	242
1684944906771144	242
1684944906781129	242
1684944906784155	242
1684944906789137	242
1684944906791128	242
1684944906794130	242
1684944906796130	242
1684944906799128	242
1684944906805143	242
1684944906811495	242
1684944906818492	242
1684944906820488	242
1684944906824486	242
1684944906828997	242
1684944906830994	242
1684944906833994	242
1684944906837034	242
1684944906840999	242
1684944906844004	242
1684944906845994	242
1684944906851996	242
1684944906852996	242
1684944906856998	242
1684944906858998	242
1684944906861000	242
1684944906864030	242
1684944906866998	242
1684944906871994	242
1684944906873995	242
1684944906876996	242
1684944906878996	242
1684944906880994	242
1684944906885996	242
1684944906891995	242
1684944906896994	242
1684944906898995	242
1684944906901996	242
1684944906903994	242
1684944906906996	242
1684944906913999	242
1684944906917000	242
1684944906920999	242
1684944906928512	272
1684944906933530	297
1684944906936530	313
1684944906941530	336
1684944906948514	375
1684944906951596	387
1684944906956604	412
1684944906958594	423
1684944906961592	438
1684944906963602	450
1684944906966813	461
1684944906971805	488
1684944906975804	511
1684944906979804	526
1684944906983804	548
1684944906986805	564
1684944906988808	574
1684944906991804	589
1684944906998804	612
1684944906999800	626
1684944907001734	638
1684944907004804	652
1684944907008799	673
1684944907011924	690
1684944907013941	699
1684944907016922	713
1684944907018922	727
1684944907026605	763
1684944907031619	775
1684944907034526	778
1684944907036608	781
1684944907039612	784
1684944907041604	787
1684944907044602	791
1684944907049617	796
1684944907051618	799
1684944907054619	803
1684944907056624	806
1684944907059602	809
1684944907064610	815
1684944907066604	818
1684944907069617	821
1684944907074616	827
1684944907078609	833
1684944907084696	839
1684944907086691	842
1684944907089695	846
1684944907096688	852
1684944907096688	852
1684944907099880	858
1684944907101962	861
1684944907104962	864
1684944907106970	867
1684944907109966	870
1684944907115067	876
1684944907117066	879
1684944907120054	882
1684944907122059	885
1684944907123980	888
1684944907136667	902
1684944907145007	905
1684944907146022	906
1684944907147936	907
1684944907150016	908
1684944907152014	910
1684944907158015	913
1684944907160019	914
1684944907164018	916
1684944907168018	918
1684944907169928	919
1684944907172933	921
1684944907174939	922
1684944907176933	923
1684944907180972	925
1684944907183932	926
1684944907186943	929
1684944907189972	930
1684944907192225	931
1684944907194232	933
1684944907199236	935
1684944907201492	937
1684944907207522	940
1684944907214531	943
1684944907222513	948
1684944907225498	949
1684944907230623	951
1684944907232620	953
1684944907235622	955
1684944907237665	957
1684944907240701	957
1684944907242670	957
1684944907247668	958
1684944907250668	958
1684944907253669	959
1684944907255667	959
1684944907260702	960
1684944907262666	960
1684944907265664	960
1684944907267670	961
1684944907270670	961
1684944907275669	962
1684944907277670	962
1684944907280667	962
1684944907282668	963
1684944907284664	963
1684944907290666	964
1684944907293666	964
1684944907297666	965
1684944907300666	965
1684944907302664	965
1684944907305666	966
1684944907307664	966
1684944907310666	967
1684944907314672	967
1684944907315673	967
1684944907317671	968
1684944907325671	969
1684944907330938	969
1684944907333945	970
1684944907336942	970
1684944907338942	970
1684944907340939	971
1684944907346941	971
1684944907348944	971
1684944907350961	971
1684944907353958	971
1684944907358958	971
1684944907361958	971
1684944907363986	971
1684944907366026	971
1684944907369034	971
1684944907372044	971
1684944907376022	971
1684944907379030	971
1684944907381034	971
1684944907384025	971
1684944907388032	971
1684944907391026	971
1684944907394027	971
1684944907397016	971
1684944907399016	971
1684944907401022	971
1684944907408024	971
1684944907412120	971
1684944907416115	971
1684944907419123	971
1684944907426796	971
1684944907428799	971
1684944907431800	971
1684944907434799	971
1684944907438799	971
1684944907441796	971
1684944907443813	971
1684944907446800	971
1684944907450797	971
1684944907453799	971
1684944907458798	972
1684944907459806	972
1684944907461801	972
1684944907466800	973
1684944907468797	973
1684944907471801	974
1684944907473815	974
1684944907478802	975
1684944907481808	975
1684944907483797	976
1684944907486794	976
1684944907488808	976
1684944907491807	976
1684944907496792	977
1684944907500793	978
1684944907501799	978
1684944907503801	978
1684944907506805	979
1684944907509798	979
1684944907513894	980
1684944907516887	980
1684944907518882	980
1684944907527578	981
1684944907534588	982
1684944907537578	983
