time	rpm
1684933854314878	0
1684933854314878	0
1684933854315904	0
1684933854315904	0
1684933854316922	0
1684933854317886	0
1684933854318894	0
1684933854319890	0
1684933854320881	0
1684933854321921	0
1684933854321921	0
1684933854322918	0
1684933854322918	0
1684933854325920	0
1684933854330920	0
1684933854332876	0
1684933854337884	0
1684933854340917	0
1684933854342922	0
1684933854347876	0
1684933854351889	0
1684933854355876	0
1684933854360919	0
1684933854363918	0
1684933854368918	0
1684933854372919	0
1684933854375920	0
1684933854377918	0
1684933854380921	0
1684933854382921	0
1684933854385919	0
1684933854387918	0
1684933854393916	0
1684933854395919	0
1684933854397917	0
1684933854405918	0
1684933854408918	0
1684933854413920	0
1684933854415924	0
1684933854417924	0
1684933854420942	0
1684933854425919	0
1684933854428921	0
1684933854430917	0
1684933854432919	0
1684933854435924	0
1684933854438920	0
1684933854442920	0
1684933854445898	0
1684933854447921	0
1684933854450918	0
1684933854453918	0
1684933854460920	0
1684933854463918	0
1684933854467919	0
1684933854470920	0
1684933854477918	0
1684933854478926	0
1684933854479918	0
1684933854483876	0
1684933854485923	0
1684933854488918	0
1684933854490920	0
1684933854495918	0
1684933854498920	0
1684933854508920	0
1684933854516919	0
1684933854521919	0
1684933854523918	0
1684933854526920	0
1684933854530919	0
1684933854533923	0
1684933854536918	0
1684933854538919	0
1684933854541919	0
1684933854543918	0
1684933854548919	0
1684933854551920	0
1684933854553918	0
1684933854555919	0
1684933854558920	0
1684933854563918	0
1684933854566920	0
1684933854568920	0
1684933854570918	0
1684933854573919	0
1684933854578918	0
1684933854581891	0
1684933854583919	0
1684933854585947	0
1684933854588920	0
1684933854591918	0
1684933854595919	0
1684933854598920	0
1684933854600918	0
1684933854608920	0
1684933854612396	0
1684933854619919	0
1684933854621919	0
1684933854626918	0
1684933854628918	0
1684933854631918	0
1684933854636920	0
1684933854638920	0
1684933854643881	0
1684933854646920	0
1684933854651920	0
1684933854653918	0
1684933854656918	0
1684933854659920	0
1684933854661922	0
1684933854666920	0
1684933854668920	0
1684933854671920	0
1684933854674916	0
1684933854676916	0
1684933854681916	0
1684933854683917	0
1684933854686934	0
1684933854688919	0
1684933854693918	0
1684933854696918	0
1684933854698920	0
1684933854701918	0
1684933854703920	0
1684933854713918	0
1684933854718920	0
1684933854726917	0
1684933854731919	0
1684933854733920	0
1684933854736919	0
1684933854738916	1
1684933854741922	5
1684933854746920	11
1684933854748911	15
1684933854751922	18
1684933854753920	21
1684933854756919	25
1684933854761896	32
1684933854763920	35
1684933854766926	39
1684933854768918	42
1684933854771919	46
1684933854775919	52
1684933854778918	55
1684933854781920	59
1684933854784919	63
1684933854786918	66
1684933854791918	73
1684933854793918	76
1684933854796919	80
1684933854798878	83
1684933854801919	87
1684933854805922	93
1684933854810418	97
1684933854811877	100
1684933854813917	104
1684933854816917	107
1684933854826920	121
1684933854831922	128
1684933854834912	132
1684933854836918	135
1684933854841919	142
1684933854842960	142
1684933854846920	285
1684933854848919	285
1684933854851919	285
1684933854854919	286
1684933854856939	286
1684933854859917	286
1684933854864919	287
1684933854866919	287
1684933854871927	288
1684933854873917	288
1684933854876919	289
1684933854880916	289
1684933854881917	290
1684933854886882	290
1684933854886882	290
1684933854891916	291
1684933854894920	291
1684933854896917	292
1684933854898919	292
1684933854901916	292
1684933854906918	293
1684933854912918	294
1684933854914922	294
1684933854917916	295
1684933854922918	295
1684933854924877	296
1684933854929919	296
1684933854932917	297
1684933854934919	297
1684933854937918	297
1684933854939919	298
1684933854942918	298
1684933854944918	298
1684933854947918	299
1684933854952919	300
1684933854954918	300
1684933854957919	300
1684933854959921	301
1684933854962876	301
1684933854967922	302
1684933854969918	302
1684933854972919	302
1684933854974918	303
1684933854979928	303
1684933854982918	304
1684933854985919	304
1684933854987919	304
1684933854989950	305
1684933854992919	305
1684933854997921	306
1684933854999876	306
1684933855003111	306
1684933855004919	307
1684933855007877	307
1684933855017916	308
1684933855022918	309
1684933855025916	309
1684933855027918	310
1684933855029949	310
1684933855032916	310
1684933855037916	311
1684933855040916	311
1684933855042916	312
1684933855047914	312
1684933855050916	313
1684933855052918	313
1684933855057916	314
1684933855061060	314
1684933855067916	314
1684933855072917	314
1684933855076057	314
1684933855077920	314
1684933855079916	314
1684933855082916	314
1684933855087918	314
1684933855089916	314
1684933855092918	314
1684933855097917	314
1684933855097917	314
1684933855100877	314
1684933855105916	314
