time	pwm_percent
1684934562303926	2
1684934565306899	7
1684934568317128	12
1684934571330292	17
1684934574345292	22
1684934577346453	27
1684934580361455	32
1684934583374111	37
1684934586389075	42
1684934589403083	47
1684934592417613	52
1684934595431777	57
1684934598439791	62
1684934601449629	67
1684934604458684	72
1684934607471235	77
1684934610479821	82
1684934613490162	87
1684934616501429	92
1684934619513516	97
1684934622515490	100
1684934625528586	95
1684934627541838	90
1684934629556618	85
1684934631572206	80
1684934633588032	75
1684934635593438	70
1684934637605744	65
1684934639617633	60
1684934641634121	55
1684934643639373	50
1684934645652516	45
1684934647666891	40
1684934649681392	35
1684934651683059	30
1684934653694063	25
1684934655710086	20
1684934657716026	15
1684934659724029	10
1684934661737777	5
