time	rpm
1684922447708141	0
1684922447709143	0
1684922447709143	0
1684922447710143	0
1684922447710143	0
1684922447711144	0
1684922447712144	0
1684922447713144	0
1684922447713144	0
1684922447714140	0
1684922447714140	0
1684922447715167	0
1684922447716142	0
1684922447717144	0
1684922447717144	0
1684922447718143	0
1684922447718143	0
1684922447719143	0
1684922447720144	0
1684922447721145	0
1684922447721145	0
1684922447722145	0
1684922447723143	0
1684922447723143	0
1684922447724143	0
1684922447724143	0
1684922447725145	0
1684922447726145	0
1684922447727143	0
1684922447727143	0
1684922447728142	0
1684922447729144	0
1684922447729144	0
1684922447730144	0
1684922447731143	0
1684922447731143	0
1684922447732146	0
1684922447733145	0
1684922447733145	0
1684922447734140	0
1684922447735143	0
1684922447736143	0
1684922447736143	0
1684922447737144	0
1684922447738142	0
1684922447738142	0
1684922447739142	0
1684922447740143	0
1684922447740143	0
1684922447741144	0
1684922447741144	0
1684922447743145	0
1684922447743145	0
1684922447744143	0
1684922447744143	0
1684922447745143	0
1684922447746144	0
1684922447747144	0
1684922447747144	0
1684922447748142	0
1684922447748142	0
1684922447749142	0
1684922447750144	0
1684922447751143	0
1684922447751143	0
1684922447752144	0
1684922447753152	0
1684922447754141	0
1684922447754141	0
1684922447755143	0
1684922447756144	0
1684922447757145	0
1684922447757145	0
1684922447758144	0
1684922447758144	0
1684922447759143	0
1684922447760144	0
1684922447761145	0
1684922447762144	0
1684922447762144	0
1684922447763141	0
1684922447764145	0
1684922447765144	0
1684922447765144	0
1684922447766143	0
1684922447766143	0
1684922447767143	0
1684922447768145	0
1684922447769144	0
1684922447769144	0
1684922447771143	5636
1684922447772145	5807
1684922447773143	5909
1684922447773143	6016
1684922447774144	6186
1684922447775144	6284
1684922447775144	6342
1684922447776144	6342
1684922447777143	6383
1684922447777143	6442
1684922447778142	6573
1684922447779144	6642
1684922447780144	6719
1684922447780144	6787
1684922447781143	6838
1684922447782144	6981
1684922447783142	7054
1684922447786145	7121
1684922447788144	7192
1684922447791146	7247
1684922447792167	7316
1684922447805144	7653
1684922447810144	7795
1684922447815146	7875
1684922447816143	7920
1684922447820144	8057
1684922447820144	8063
1684922447824158	8142
1684922447828142	8207
1684922447830144	8329
1684922447835145	8472
1684922447840144	8598
1684922447843143	8670
1684922447846144	8730
1684922447848143	8814
1684922447855144	8992
1684922447860144	9140
1684922447863144	9244
1684922447866144	9247
1684922447867141	9250
1684922447870143	9254
1684922447873142	9258
1684922447880141	9269
1684922447882144	9273
1684922447890140	9284
1684922447893144	9288
1684922447899144	9297
1684922447900143	9300
1684922447903141	9304
1684922447906143	9308
1684922447909144	9311
1684922447912142	9315
1684922447916144	9322
1684922447918143	9326
1684922447920145	9330
1684922447925315	9334
1684922447926144	9337
1684922447930143	9344
1684922447933142	9348
1684922447936143	9353
1684922447938144	9356
1684922447941142	9360
1684922447949307	9371
1684922447950141	9374
1684922447955144	9382
1684922447960144	9389
1684922447966144	9401
1684922447969144	9403
1684922447972144	9405
1684922447973145	9407
1684922447976144	9409
1684922447981143	9413
1684922447986142	9417
1684922447988209	9419
1684922447994144	9424
1684922448001142	9430
1684922448005144	9434
1684922448009144	9436
1684922448011142	9438
1684922448013140	9440
1684922448016143	9442
1684922448020144	9446
1684922448023145	9449
1684922448027147	9450
1684922448028144	9453
1684922448033144	9456
1684922448035143	9459
1684922448038144	9461
1684922448041144	9463
1684922448043144	9465
1684922448046143	9467
1684922448050144	9471
1684922448053141	9473
1684922448056145	9475
1684922448059144	9477
1684922448060143	9479
1684922448063142	9482
1684922448069142	9485
1684922448070144	9484
1684922448074142	9484
1684922448075141	9484
1684922448080145	9483
1684922448083143	9483
1684922448087152	9482
1684922448088141	9482
1684922448093145	9481
1684922448095144	9481
1684922448104144	9480
1684922448107192	9480
1684922448112144	9479
1684922448115144	9479
1684922448116391	9478
1684922448119144	9478
1684922448123141	9478
1684922448129143	9477
1684922448130144	9477
1684922448131144	9476
1684922448134144	9476
1684922448140145	9475
1684922448141144	9475
1684922448144144	9475
1684922448147142	9474
1684922448149199	9474
1684922448151146	9474
1684922448157144	9473
1684922448159144	9473
1684922448161141	9472
1684922448164144	9472
1684922448168146	9471
1684922448172144	9471
1684922448175142	9471
1684922448176145	9471
1684922448179144	9472
1684922448185146	9477
1684922448189146	9482
1684922448195142	9488
1684922448200683	9490
1684922448201571	9493
1684922448203141	9496
1684922448207626	9501
1684922448208145	9501
1684922448212144	9506
1684922448214143	9509
1684922448217144	9512
1684922448219140	9514
1684922448224328	9519
1684922448229144	9522
1684922448230144	9525
1684922448233144	9527
1684922448234143	9530
1684922448237141	9533
1684922448243144	9538
1684922448244596	9541
1684922448247144	9543
1684922448250144	9546
1684922448252144	9549
1684922448257143	9554
1684922448260144	9556
1684922448262141	9559
1684922448265146	9562
1684922448268143	9564
1684922448273144	9570
1684922448274143	9572
1684922448277144	9575
1684922448279142	9577
1684922448281143	9584
1684922448284143	9581
1684922448294142	9573
1684922448300142	9568
1684922448307144	9563
1684922448311144	9561
1684922448313144	9558
1684922448317143	9556
1684922448320141	9552
1684922448323144	9550
1684922448325142	9548
1684922448328140	9546
1684922448332144	9542
1684922448337144	9538
1684922448343144	9534
1684922448347144	9530
1684922448350144	9527
1684922448353142	9525
1684922448357144	9523
1684922448357144	9521
1684922448361144	9519
1684922448362144	9517
1684922448364145	9515
1684922448368144	9513
1684922448375212	9507
1684922448380212	9502
1684922448382213	9501
1684922448389210	9500
1684922448392219	9500
1684922448397212	9500
1684922448404212	9500
1684922448410212	9500
1684922448413212	9500
1684922448415211	9500
1684922448417210	9500
1684922448422213	9500
1684922448425213	9500
1684922448430212	9500
1684922448430212	9500
1684922448433448	9500
1684922448436233	9500
1684922448440214	9500
1684922448442212	9500
1684922448445212	9500
1684922448448212	9500
1684922448450213	9500
1684922448455213	9500
1684922448458210	9500
1684922448460213	9500
1684922448465212	9500
1684922448470211	9500
1684922448472212	9500
1684922448475209	9500
1684922448478212	9500
1684922448483213	9500
1684922448487213	9500
1684922448490213	9500
1684922448497209	9498
1684922448506213	9496
1684922448508212	9495
1684922448513276	9494
1684922448515212	9493
1684922448520212	9492
1684922448525212	9490
1684922448530212	9490
1684922448531212	9489
1684922448533213	9488
1684922448540213	9486
1684922448545211	9485
1684922448547212	9484
1684922448550212	9483
1684922448555211	9483
1684922448556213	9482
1684922448560212	9481
1684922448562213	9480
1684922448565212	9479
1684922448568214	9479
1684922448574532	9477
1684922448580212	9476
1684922448582212	9474
1684922448585212	9474
1684922448587212	9473
1684922448595214	9471
1684922448600210	9442
1684922448603212	9443
1684922448606213	9443
1684922448609213	9444
1684922448610213	9445
1684922448616212	9446
1684922448618213	9447
1684922448620213	9447
1684922448623212	9448
1684922448630209	9450
1684922448633212	9451
1684922448635211	9451
1684922448640212	9453
1684922448643212	9453
1684922448646212	9454
1684922448648212	9455
1684922448650212	9455
1684922448653212	9456
1684922448658212	9457
1684922448662210	9458
1684922448664212	9459
1684922448667215	9459
1684922448671222	9461
1684922448673236	9461
1684922448676214	9462
1684922448678224	9463
1684922448681219	9463
1684922448684221	9464
1684922448688213	9465
1684922448693212	9467
1684922448698214	9468
1684922448701413	9469
1684922448707216	9468
1684922448708211	9466
1684922448711217	9465
1684922448713253	9463
1684922448717214	9461
1684922448721212	9458
1684922448723243	9456
1684922448725210	9454
1684922448728212	9452
1684922448732906	9451
1684922448734217	9449
1684922448742222	9445
1684922448743215	9444
1684922448744513	9442
1684922448747213	9440
1684922448751224	9438
1684922448754213	9435
1684922448758232	9434
1684922448761628	9430
1684922448763216	9430
1684922448766213	9427
1684922448769215	9425
1684922448775218	9423
1684922448778226	9422
1684922448780308	9420
1684922448781713	9418
1684922448783209	9415
1684922448786208	9413
1684922448789214	9411
1684922448792212	9409
1684922448794211	9408
1684922448799212	9404
1684922448802213	9403
1684922448803217	9401
1684922448809214	9400
1684922448812210	9402
1684922448817048	9408
1684922448821209	9414
1684922448824210	9418
1684922448828212	9424
1684922448831211	9428
1684922448833210	9431
1684922448836211	9434
1684922448838210	9437
1684922448841209	9441
1684922448843212	9444
1684922448846210	9448
1684922448850211	9454
1684922448853210	9457
1684922448855211	9461
1684922448858211	9464
1684922448861211	9467
1684922448866214	9474
1684922448868211	9477
1684922448871211	9481
1684922448873213	9484
1684922448876212	9488
1684922448878212	9491
1684922448883212	9497
1684922448887212	9501
1684922448890213	9507
1684922448891215	9507
1684922448894213	9511
1684922448898211	9517
1684922448901213	9520
1684922448903213	9524
1684922448906210	9527
1684922448910212	9533
1684922448913213	9539
1684922448918212	9526
1684922448922214	9519
1684922448923836	9511
1684922448923836	9511
1684922448928848	9499
1684922448933850	9486
1684922448936922	9478
1684922448940848	9472
1684922448941208	9471
1684922448943848	9460
1684922448945862	9453
1684922448948844	9445
1684922448951844	9440
1684922448953845	9432
1684922448958845	9419
1684922448961849	9412
1684922448963848	9406
1684922448966847	9399
1684922448971845	9387
1684922448973848	9380
1684922448976848	9373
1684922448979846	9366
1684922448981850	9360
1684922448983848	9353
1684922448988848	9340
1684922448993847	9328
1684922448995845	9321
1684922448998846	9315
1684922449006846	9293
1684922449011844	9281
1684922449014848	9272
1684922449016887	9271
1684922449019846	9271
1684922449023844	9275
1684922449026847	9278
1684922449029845	9281
1684922449031848	9284
1684922449033848	9287
1684922449039847	9293
1684922449041846	9296
1684922449044849	9299
1684922449046846	9302
1684922449049848	9305
1684922449051848	9308
1684922449056848	9314
1684922449059847	9317
1684922449061848	9320
1684922449063849	9322
1684922449066847	9326
1684922449071846	9332
1684922449074848	9335
1684922449076845	9337
1684922449079847	9341
1684922449081848	9344
1684922449086848	9349
1684922449089856	9353
1684922449095850	9362
1684922449104847	9371
1684922449109848	9377
1684922449112849	9380
1684922449114846	9383
1684922449117845	9386
1684922449121848	9392
1684922449126848	9398
1684922449132844	9400
1684922449134847	9400
1684922449136846	9400
1684922449142848	9400
1684922449144848	9400
1684922449144848	9400
1684922449149845	9400
