time	volts
1684933401923748	15.263
1684933401924788	15.263
1684933401925782	15.263
1684933401925782	15.263
1684933401926792	15.263
1684933401927790	15.263
1684933401927790	15.263
1684933401928746	15.263
1684933401929788	15.263
1684933401930746	15.263
1684933401930746	15.263
1684933401931788	15.263
1684933401931788	15.263
1684933401932786	15.263
1684933401933809	15.263
1684933401934786	15.264
1684933401934786	15.264
1684933401935789	15.264
1684933401936754	15.264
1684933401937789	15.264
1684933401937789	15.264
1684933401938786	15.264
1684933401938786	15.264
1684933401939788	15.264
1684933401940788	15.264
1684933401941789	15.264
1684933401941789	15.264
1684933401942791	15.264
1684933401943789	15.264
1684933401944791	15.264
1684933401944791	15.264
1684933401945789	15.264
1684933401946778	15.264
1684933401947779	15.264
1684933401947779	15.264
1684933401948788	15.264
1684933401949790	15.264
1684933401950804	15.264
1684933401950804	15.264
1684933401951789	15.264
1684933401952792	15.264
1684933401952792	15.264
1684933401953794	15.26
1684933401954789	15.26
1684933401954789	15.26
1684933401955789	15.26
1684933401956788	15.26
1684933401957789	15.26
1684933401957789	15.26
1684933401958786	15.26
1684933401958786	15.26
1684933401959789	15.26
1684933401960792	15.26
1684933401961789	15.26
1684933401961789	15.26
1684933401962788	15.26
1684933401963799	15.26
1684933401964788	15.26
1684933401964788	15.26
1684933401965790	15.26
1684933401965790	15.26
1684933401967745	15.26
1684933401968745	15.26
1684933401968745	15.26
1684933401969744	15.26
1684933401970744	15.26
1684933401971746	15.26
1684933401972745	15.26
1684933401973754	15.26
1684933401973754	15.26
1684933401974745	15.261
1684933401975746	15.261
1684933401976745	15.261
1684933401976745	15.261
1684933401977745	15.261
1684933401978878	15.261
1684933401979789	15.261
1684933401980776	15.261
1684933401981750	15.261
1684933401982776	15.261
1684933401984055	15.261
1684933401984778	15.261
1684933401985746	15.261
1684933401986775	15.261
1684933401988062	15.261
1684933401988791	15.261
1684933401989607	15.261
1684933401989920	15.261
1684933401990792	15.261
1684933401990792	15.261
1684933401992676	15.261
1684933401992746	14.434
1684933401993746	14.434
1684933401995362	14.434
1684933401996058	14.434
1684933401996748	14.434
1684933401998831	14.434
1684933401999081	14.434
1684933402000056	14.434
1684933402000479	14.434
1684933402001134	14.434
1684933402002015	14.434
1684933402002650	14.434
1684933402003648	14.434
1684933402004688	14.434
1684933402005646	14.434
1684933402007648	14.434
1684933402008646	14.434
1684933402010715	14.434
1684933402015685	13.861
1684933402017709	13.861
1684933402020692	13.861
1684933402023688	13.861
1684933402027689	13.861
1684933402030650	13.861
1684933402032683	13.861
1684933402035692	13.861
1684933402037689	13.861
1684933402042694	13.861
1684933402044648	13.861
1684933402052687	13.861
1684933402057693	13.861
1684933402062648	13.861
1684933402065647	13.861
1684933402068008	13.861
1684933402070898	13.861
1684933402072678	13.861
1684933402076154	13.861
1684933402080649	13.861
1684933402082646	13.861
1684933402085647	13.861
1684933402087688	13.861
1684933402092686	13.861
1684933402095685	13.861
1684933402098646	13.861
1684933402100690	13.861
1684933402102682	13.861
1684933402107689	13.861
1684933402110689	13.861
1684933402112649	13.861
1684933402115692	14.121
1684933402117691	14.121
1684933402124688	14.121
1684933402127687	14.121
1684933402132663	14.121
1684933402135689	14.121
1684933402137693	14.121
1684933402140690	14.121
1684933402142696	14.121
1684933402145689	14.121
1684933402150690	14.121
1684933402152690	14.121
1684933402154690	14.121
1684933402160693	14.121
1684933402165688	14.121
1684933402172688	14.121
1684933402175689	14.121
1684933402180689	14.121
1684933402183689	14.121
1684933402185692	14.121
1684933402188690	14.121
1684933402190688	14.121
1684933402195692	14.121
1684933402197692	14.121
1684933402200689	14.121
1684933402202687	14.121
1684933402205685	14.121
1684933402210699	14.121
1684933402213684	14.121
1684933402215688	14.159
1684933402217686	14.159
1684933402220698	14.159
1684933402223684	14.159
1684933402227687	14.159
1684933402230647	14.159
1684933402233687	14.159
1684933402235684	14.159
1684933402240684	14.159
1684933402243696	14.159
1684933402245684	14.159
1684933402247688	14.159
1684933402253685	14.159
1684933402257684	14.159
1684933402258685	14.159
1684933402268685	14.159
1684933402273685	14.159
1684933402275687	14.159
1684933402279689	14.159
1684933402280684	14.159
1684933402285684	14.159
1684933402289685	14.159
1684933402291656	14.159
1684933402293684	14.159
1684933402296686	14.159
1684933402298684	14.159
1684933402306689	14.159
1684933402311689	14.159
1684933402313691	14.159
1684933402316677	14.162
1684933402318942	14.162
1684933402321676	14.162
1684933402326689	14.162
1684933402328689	14.162
1684933402331691	14.162
1684933402333689	14.162
1684933402336689	14.162
1684933402341689	14.162
1684933402343690	14.162
1684933402346692	14.162
1684933402349689	14.162
1684933402356706	14.162
1684933402358688	14.162
1684933402364647	14.162
1684933402366688	14.162
1684933402371692	14.162
1684933402372699	14.162
1684933402374647	14.162
1684933402376689	14.162
1684933402380647	14.162
1684933402384647	14.162
1684933402386694	14.162
1684933402389689	14.162
1684933402392690	14.162
1684933402394689	14.162
1684933402397647	14.162
1684933402401690	14.162
1684933402404688	14.162
1684933402407689	14.162
1684933402409691	14.162
1684933402414694	14.162
1684933402416690	14.156
1684933402419691	14.156
1684933402422689	14.156
