time	pwm_percent
1684860550845864	2
1684860553853941	7
1684860556856881	12
1684860559869254	17
1684860562875019	22
1684860565889308	27
1684860568892390	32
1684860571901935	37
1684860574916892	42
1684860577921031	47
1684860580926692	52
1684860583930374	57
1684860586941095	62
1684860589943804	67
1684860592949557	72
1684860595967422	77
1684860598972502	82
1684860601987657	87
1684860604995162	92
1684860607996866	97
1684860611012181	100
1684860614018594	95
1684860616023204	90
1684860618034731	85
1684860620046508	80
1684860622059232	75
1684860624070616	70
1684860626078553	65
1684860628088775	60
1684860630100772	55
1684860632115911	50
1684860634130191	45
1684860636139022	40
1684860638150625	35
1684860640161336	30
1684860642170174	25
1684860644183914	20
1684860646195177	15
1684860648203940	10
1684860650213865	5
