time	rpm
1684860872809291	0
1684860872817292	0
1684860872818291	0
1684860872818291	0
1684860872819300	0
1684860872819300	0
1684860872820310	0
1684860872821306	0
1684860872821306	0
1684860872822306	0
1684860872823292	0
1684860872823292	0
1684860872824780	0
1684860872824780	0
1684860872825786	0
1684860872826787	0
1684860872826787	0
1684860872827788	0
1684860872827788	0
1684860872829127	0
1684860872830138	0
1684860872831136	0
1684860872832458	0
1684860872833466	0
1684860872833466	0
1684860872834466	0
1684860872834466	0
1684860872835464	0
1684860872836465	0
1684860872839972	0
1684860872842978	0
1684860872845067	0
1684860872849475	0
1684860872852496	0
1684860872854501	0
1684860872856488	0
1684860872859483	0
1684860872861485	0
1684860872864489	0
1684860872868489	0
1684860872871481	0
1684860872874481	0
1684860872880482	0
1684860872881487	0
1684860872884500	0
1684860872886492	0
1684860872890488	0
1684860872896485	0
1684860872901484	4
1684860872904482	7
1684860872907480	11
1684860872911484	16
1684860872914484	19
1684860872915827	19
1684860872919849	25
1684860872921856	27
1684860872924838	30
1684860872926843	34
1684860872929840	37
1684860872934866	42
1684860872937067	45
1684860872941481	51
1684860872942536	52
1684860872946663	57
1684860872949149	60
1684860872952430	63
1684860872954529	66
1684860872956597	69
1684860872963888	77
1684860872967417	81
1684860872969530	84
1684860872974243	89
1684860872977314	92
1684860872984349	102
1684860872996582	114
1684860873000042	119
1684860873002026	128
1684860873005026	131
1684860873008048	133
1684860873010027	135
1684860873015031	139
1684860873018026	141
1684860873020028	143
1684860873022026	145
1684860873025039	148
1684860873030042	152
1684860873033049	154
1684860873035038	156
1684860873037037	158
1684860873039542	160
1684860873044548	164
1684860873046552	166
1684860873051546	170
1684860873054547	173
1684860873057546	175
1684860873060549	177
1684860873064550	179
1684860873065547	181
1684860873067549	183
1684860873071546	185
1684860873074546	189
1684860873076546	191
1684860873086199	198
1684860873088198	200
1684860873092196	203
1684860873097196	208
1684860873101199	211
1684860873106197	214
1684860873108195	214
1684860873111196	214
1684860873114198	216
1684860873116200	218
1684860873120197	221
1684860873123197	223
1684860873126305	224
1684860873128304	226
1684860873130304	228
1684860873135304	231
1684860873138307	232
1684860873140816	234
1684860873145824	237
1684860873145824	238
1684860873152819	242
1684860873155818	244
1684860873161820	247
1684860873162818	249
1684860873165818	250
1684860873169176	252
1684860873172173	255
1684860873177176	258
1684860873181175	260
1684860873191224	267
1684860873196678	270
1684860873198686	272
1684860873200798	274
1684860873206016	277
1684860873207021	277
1684860873209024	279
1684860873214014	285
1684860873216016	285
1684860873219016	285
1684860873224018	286
1684860873227025	286
1684860873229039	287
1684860873231025	287
1684860873234023	288
1684860873237125	288
1684860873262130	291
1684860873264137	292
1684860873269128	293
1684860873273160	293
1684860873281245	294
1684860873283641	295
1684860873288646	296
1684860873291638	296
1684860873293968	296
1684860873297970	297
1684860873305477	298
1684860873310760	299
1684860873313766	299
1684860873316768	300
1684860873318780	300
1684860873322147	300
1684860873324154	300
1684860873328663	300
1684860873330662	300
1684860873334820	300
1684860873336821	300
1684860873339827	300
1684860873343812	300
1684860873346808	300
1684860873348812	300
1684860873350809	300
1684860873353809	300
1684860873358809	300
1684860873361810	300
1684860873363808	300
1684860873365273	300
1684860873371282	300
1684860873374282	300
1684860873376281	300
1684860873378279	300
1684860873384946	300
1684860873386932	300
1684860873386932	300
1684860873391930	300
1684860873394931	300
1684860873401095	300
1684860873403089	300
1684860873403089	300
1684860873406366	300
1684860873409366	300
1684860873411817	300
1684860873414816	300
1684860873420270	300
1684860873422376	300
1684860873425426	300
1684860873426446	300
1684860873428427	300
1684860873435427	300
1684860873438426	300
1684860873445370	300
1684860873447374	300
1684860873448644	300
1684860873451652	300
1684860873454650	300
1684860873457361	300
1684860873461450	300
1684860873463526	300
1684860873466782	300
1684860873470125	300
1684860873476499	300
1684860873487229	300
1684860873492654	300
1684860873497744	300
1684860873499745	300
1684860873504744	300
1684860873506742	300
1684860873509743	300
1684860873514771	300
1684860873514771	300
1684860873522772	300
1684860873524770	300
1684860873529786	299
1684860873532775	298
1684860873534779	298
1684860873537778	297
1684860873543134	296
1684860873544142	295
1684860873548143	294
1684860873551142	293
1684860873556142	292
1684860873557160	292
1684860873560144	291
1684860873563140	290
1684860873565140	289
1684860873567545	288
1684860873571548	287
1684860873577548	286
1684860873581552	284
1684860873584581	284
1684860873589720	282
1684860873594719	281
1684860873597721	280
1684860873602124	279
1684860873602124	279
1684860873605135	278
1684860873612792	276
1684860873614796	275
1684860873619940	274
1684860873622937	273
1684860873624934	272
1684860873626958	272
1684860873632948	271
1684860873633939	270
1684860873637524	270
1684860873642826	269
1684860873646374	269
1684860873647384	269
1684860873649901	268
1684860873652661	268
1684860873657414	268
1684860873658419	267
1684860873659880	267
1684860873665206	266
1684860873668482	266
1684860873669688	266
1684860873672841	265
1684860873674948	265
1684860873682594	264
1684860873686660	263
1684860873694655	262
1684860873701654	261
1684860873704659	261
1684860873711140	260
1684860873712218	260
1684860873714139	260
1684860873717139	259
1684860873722182	259
1684860873725226	258
1684860873727236	258
1684860873729308	258
1684860873735246	257
1684860873738324	257
1684860873757954	257
1684860873759948	257
1684860873764949	257
1684860873766942	257
1684860873772958	257
1684860873774957	257
1684860873776958	257
1684860873779946	257
1684860873790772	257
1684860873793772	257
1684860873797766	257
1684860873799695	257
1684860873804776	257
1684860873809774	257
1684860873809774	257
1684860873812772	257
1684860873814784	257
1684860873817690	257
1684860873822763	257
1684860873824780	257
1684860873827872	257
1684860873829877	257
1684860873835887	257
1684860873835887	257
1684860873837882	257
1684860873842575	257
1684860873845582	256
1684860873847578	256
1684860873849576	256
1684860873852570	255
1684860873857590	254
1684860873862579	254
1684860873865490	253
1684860873870601	253
1684860873875499	252
1684860873877574	252
1684860873880582	251
1684860873883492	251
1684860873892488	249
1684860873898492	249
1684860873900483	248
1684860873902487	248
1684860873906491	247
1684860873907564	247
1684860873910532	247
1684860873917887	246
1684860873923889	245
1684860873925894	245
1684860873927896	244
1684860873932892	243
1684860873932892	243
1684860873935892	243
1684860873940518	242
1684860873942616	242
1684860873947628	242
1684860873948618	242
1684860873952535	242
1684860873957628	242
1684860873960617	242
1684860873965530	242
1684860873967537	242
1684860873970534	242
1684860873975618	242
1684860873977534	242
1684860873982624	242
1684860873990622	242
1684860873998619	242
1684860874000620	242
1684860874005623	242
1684860874008624	242
1684860874010616	242
1684860874013618	242
1684860874015618	242
1684860874021623	242
1684860874023630	242
1684860874025620	242
1684860874028722	242
1684860874030720	242
1684860874033744	242
1684860874038722	242
1684860874041336	242
1684860874043432	242
1684860874045441	242
1684860874049433	242
1684860874054458	242
1684860874055442	242
1684860874059447	242
1684860874060444	242
1684860874066435	242
1684860874068434	242
1684860874071454	242
1684860874075440	242
1684860874076433	242
1684860874080434	242
1684860874085478	242
1684860874091438	242
1684860874093434	242
1684860874095441	242
1684860874098433	242
1684860874102433	242
1684860874110429	242
1684860874114347	242
1684860874119440	242
1684860874121434	242
1684860874123432	242
1684860874125434	242
1684860874132540	242
1684860874133520	242
1684860874136541	242
1684860874138548	242
1684860874143243	242
1684860874146213	242
1684860874150233	242
1684860874152218	242
1684860874156232	242
1684860874158224	242
1684860874162211	242
1684860874165222	242
1684860874169210	242
1684860874174212	242
1684860874178220	242
1684860874180256	242
1684860874181233	242
1684860874186238	242
1684860874189240	242
1684860874191220	242
1684860874199249	242
1684860874200217	242
1684860874201232	242
1684860874204250	242
1684860874205234	242
1684860874209212	242
1684860874210218	242
1684860874214210	242
1684860874219208	242
1684860874221219	242
1684860874223213	242
1684860874225212	242
1684860874230314	242
1684860874234328	242
1684860874236296	242
1684860874253990	242
1684860874259009	242
1684860874261009	242
1684860874267027	242
1684860874267994	242
1684860874271005	242
1684860874273997	242
1684860874275992	242
1684860874278988	242
1684860874283002	242
1684860874285998	242
1684860874288992	242
1684860874293989	242
1684860874298945	242
1684860874301010	242
1684860874309043	242
1684860874316918	242
1684860874316918	242
1684860874319010	242
1684860874321980	242
1684860874324006	242
1684860874330119	242
1684860874332042	242
1684860874335186	242
1684860874337267	242
1684860874341198	242
1684860874341198	242
1684860874346701	242
1684860874348664	242
1684860874351671	242
1684860874354671	242
1684860874356680	242
1684860874361745	242
1684860874363668	242
1684860874366664	242
1684860874369667	242
1684860874376726	242
1684860874379677	242
1684860874385670	242
1684860874386776	242
1684860874388666	242
1684860874394669	242
1684860874399684	242
1684860874402672	242
1684860874406772	242
1684860874411757	242
1684860874414664	242
1684860874419687	242
1684860874421668	242
1684860874424742	242
1684860874426670	242
1684860874429765	242
1684860874434776	242
1684860874436766	242
1684860874439768	242
1684860874442278	242
1684860874447277	242
1684860874449550	242
1684860874451562	242
1684860874456556	242
1684860874459555	242
1684860874461578	242
1684860874464575	242
1684860874466580	242
1684860874469574	242
1684860874472575	242
1684860874474554	242
1684860874481554	242
1684860874481554	242
1684860874486575	242
1684860874489554	242
1684860874495554	242
1684860874500554	242
1684860874502577	242
1684860874505554	242
1684860874507554	242
1684860874512576	242
1684860874515554	242
1684860874517554	242
1684860874520636	242
1684860874524633	242
1684860874527740	242
1684860874529725	242
1684860874532742	242
1684860874535746	242
1684860874537736	242
1684860874542418	242
1684860874545417	242
1684860874547417	242
1684860874551422	242
1684860874554413	242
1684860874557426	242
1684860874560421	242
1684860874562422	242
1684860874565418	242
1684860874570415	242
1684860874573413	242
1684860874575414	242
1684860874580414	242
1684860874582412	242
1684860874585441	242
1684860874590420	242
1684860874592414	242
1684860874600413	242
1684860874607419	242
1684860874610417	242
1684860874617412	242
1684860874620437	242
1684860874626457	242
1684860874627546	242
1684860874635552	242
1684860874642129	242
1684860874646212	242
1684860874650211	242
1684860874653233	242
1684860874656225	242
1684860874659222	242
1684860874660211	242
1684860874666226	242
1684860874667228	242
1684860874671216	242
1684860874674214	242
1684860874675226	242
1684860874681221	242
1684860874682235	242
1684860874691216	242
1684860874694225	242
1684860874701210	242
1684860874703212	242
1684860874708224	242
1684860874712163	242
1684860874713258	242
1684860874716258	242
1684860874722260	242
1684860874725269	242
1684860874728361	242
1684860874733353	242
1684860874736354	242
1684860874759081	242
1684860874764074	242
1684860874766076	242
1684860874769098	242
1684860874772098	242
1684860874774088	242
1684860874779088	242
1684860874782050	242
1684860874786094	242
1684860874789073	242
1684860874790993	242
1684860874794069	242
1684860874801073	242
1684860874806040	242
1684860874809082	242
1684860874814070	242
1684860874821269	242
1684860874827107	242
1684860874828198	242
1684860874830528	242
1684860874836134	242
1684860874836134	242
1684860874840590	242
1684860874843967	242
1684860874846191	242
1684860874848406	242
