time	rpm
1684238267242728	0
1684238267304594	0
1684238267367776	0
1684238267429302	0
1684238267491414	0
1684238267555396	0
1684238267649256	0
1684238267742229	0
1684238267805364	0
1684238267867445	0
1684238267930317	0
1684238267994855	0
1684238268057385	0
1684238268119866	0
1684238268182805	0
1684238268244845	0
1684238268306756	0
1684238268370040	0
1684238268431968	0
1684238268493777	0
1684238268556493	0
1684238268619574	0
1684238268682318	0
1684238268743431	0
1684238268805416	0
1684238268868457	0
1684238268931306	0
1684238268993293	0
1684238269056766	0
1684238269119389	0
1684238269181534	0
1684238269242744	0
1684238269306726	0
1684238269370316	0
1684238269432570	0
1684238269495574	0
1684238269558734	0
1684238269622547	0
1684238269684581	0
1684238269746862	0
1684238269809813	0
1684238269872623	0
1684238269934867	0
1684238269997850	0
1684238270060554	0
1684238270123385	0
1684238270184806	1
1684238270246801	10
1684238270308736	16
1684238270370958	23
1684238270434148	26
1684238270496853	32
1684238270560454	35
1684238270624136	38
1684238270684196	44
1684238270747914	48
1684238270808806	54
1684238270871558	63
1684238270934364	70
1684238270996808	72
1684238271057618	76
1684238271120836	82
1684238271184708	91
1684238271245274	98
1684238271309422	104
1684238271373921	113
1684238271437203	120
1684238271500137	125
1684238271561888	128
1684238271623266	128
1684238271732520	214
1684238271794306	214
1684238271857401	214
1684238271918326	214
1684238271979485	214
1684238272042762	214
1684238272106657	214
1684238272168324	214
1684238272230968	214
1684238272293808	214
1684238272357135	214
1684238272419278	214
1684238272481726	214
1684238272543149	214
1684238272606567	214
1684238272667762	214
1684238272729480	214
1684238272792540	214
1684238272855473	214
1684238272918703	214
1684238272979622	214
1684238273043284	214
1684238273138736	214
1684238273200036	214
1684238273260829	214
1684238273322397	214
1684238273383578	214
1684238273463257	214
1684238273525790	214
1684238273587822	214
1684238273651574	214
1684238273714528	214
1684238273774308	214
1684238273837211	214
1684238273899204	214
1684238273961771	214
1684238274042258	214
1684238274103575	214
1684238274166417	214
1684238274228566	214
1684238274291145	214
1684238274353546	214
1684238274431960	885
1684238274494790	885
1684238274556768	885
1684238274619534	885
1684238274681581	885
1684238274743350	885
1684238274806551	885
1684238274870038	885
1684238274932390	885
1684238274994344	885
1684238275056708	885
1684238275119805	885
1684238275182761	885
1684238275244347	885
1684238275306450	885
1684238275368360	885
1684238275431526	885
1684238275494291	885
1684238275555294	885
1684238275618449	885
1684238275681685	885
1684238275773536	885
1684238275836090	885
1684238275898410	885
1684238275961209	885
1684238276024232	885
1684238276087957	885
1684238276151977	885
1684238276212300	885
1684238276274376	885
1684238276336644	885
1684238276400726	885
1684238276463664	885
1684238276525100	885
1684238276586317	885
1684238276649380	885
1684238276712309	885
1684238276772632	885
1684238276835977	885
1684238276899146	885
1684238276962746	885
1684238277057222	1479
1684238277121012	1480
1684238277184393	1481
1684238277246596	1481
1684238277309252	1482
1684238277371893	1482
1684238277434739	1483
1684238277495897	1483
1684238277557314	1484
1684238277619756	1484
1684238277682036	1484
1684238277744694	1483
1684238277805419	1483
1684238277869626	1483
1684238277933661	1482
1684238277996688	1482
1684238278060375	1481
1684238278122183	1481
1684238278185274	1478
1684238278261750	1477
1684238278323684	1476
1684238278403618	1485
1684238278466006	1485
1684238278527485	1485
1684238278589642	1485
1684238278651636	1485
1684238278714544	1485
1684238278777809	1485
1684238278839348	1485
1684238278902774	1485
1684238278964911	1485
1684238279027345	1485
1684238279088925	1485
1684238279151225	1485
1684238279213676	1485
1684238279274355	1485
1684238279338664	1485
1684238279401718	1485
1684238279464200	1485
1684238279526587	1485
1684238279589677	1485
1684238279652838	1485
1684238279747495	1985
1684238279808202	1985
1684238279870862	1985
1684238279932593	1985
1684238279995531	1985
1684238280057999	1986
1684238280121130	1987
1684238280183606	1988
1684238280245987	1988
1684238280308315	1989
1684238280371206	1990
1684238280434376	1991
1684238280497302	1991
1684238280558400	1992
1684238280620642	1992
1684238280682895	1993
1684238280744988	1993
1684238280807632	1994
1684238280870592	1994
1684238280934358	1995
1684238280995712	1995
1684238281104446	2004
1684238281165968	2004
1684238281228234	2003
1684238281291523	2003
1684238281354366	2002
1684238281417922	2002
1684238281480110	2001
1684238281541208	2001
1684238281603843	2000
1684238281667422	2000
1684238281728536	2000
1684238281791520	2000
1684238281853210	2000
1684238281916582	2000
1684238281980439	2000
1684238282043189	2000
1684238282105564	2000
1684238282168636	2000
1684238282229498	2000
1684238282291614	2000
1684238282402386	2157
1684238282464878	2170
1684238282526377	2189
1684238282587662	2206
1684238282650578	2219
1684238282712576	2247
1684238282775928	2259
1684238282838716	2280
1684238282901571	2290
1684238282964210	2308
1684238283026627	2319
1684238283087520	2340
1684238283149601	2362
1684238283213031	2370
1684238283276802	2381
1684238283339298	2403
1684238283401870	2421
1684238283464099	2433
1684238283526285	2444
1684238283587525	2457
1684238283651055	2458
1684238283712219	2460
1684238283805225	2536
1684238283868148	2534
1684238283931560	2533
1684238283994265	2532
1684238284056430	2531
1684238284118204	2529
1684238284181878	2528
1684238284244576	2527
1684238284308263	2526
1684238284370278	2525
1684238284434396	2524
1684238284497284	2523
1684238284560129	2522
1684238284623454	2521
1684238284686025	2520
1684238284749178	2519
1684238284812135	2519
1684238284876106	2518
1684238284939130	2517
1684238285001127	2516
1684238285064610	2515
1684238285159678	2526
1684238285223306	2526
1684238285285837	2525
1684238285348148	2525
1684238285412182	2525
1684238285475542	2524
1684238285538306	2524
1684238285599369	2523
1684238285663176	2522
1684238285727200	2522
1684238285805528	2521
1684238285869006	2520
1684238285932461	2520
1684238285994623	2519
1684238286057820	2519
1684238286120568	2519
1684238286182650	2518
1684238286245574	2516
1684238286308405	2516
1684238286371523	2516
1684238286434652	2515
1684238286543348	3041
1684238286605683	3040
1684238286668856	3039
1684238286731896	3039
1684238286792325	3038
1684238286854160	3038
1684238286916626	3037
1684238286978629	3037
1684238287040097	3036
1684238287103648	3035
1684238287166441	3035
1684238287227438	3034
1684238287290288	3033
1684238287353781	3033
1684238287417689	3032
1684238287481319	3031
1684238287543345	3031
1684238287607296	3031
1684238287669317	3030
1684238287731722	3030
1684238287792510	3029
1684238287855072	3042
1684238287918808	3042
1684238287981710	3042
1684238288044259	3042
1684238288108270	3042
1684238288169787	3042
1684238288230398	3042
1684238288293191	3042
1684238288356680	3042
1684238288419420	3042
1684238288480848	3042
1684238288542404	3042
1684238288604908	3042
1684238288668762	3042
1684238288731507	3042
1684238288792487	3042
1684238288854260	3042
1684238288916230	3042
1684238288978748	3042
1684238289040937	3042
1684238289165018	3514
1684238289226486	3514
1684238289288424	3514
1684238289351098	3514
