time	volts
1684238409979044	14.568
1684238410038894	14.568
1684238410099818	14.568
1684238410162098	14.568
1684238410223842	14.568
1684238410285289	14.568
1684238410347866	14.568
1684238410409994	14.568
1684238410472088	14.568
1684238410566779	14.568
1684238410644744	14.568
1684238410723326	14.572
1684238410786174	14.572
1684238410849882	14.572
1684238410912908	14.572
1684238410977216	14.572
1684238411038769	14.572
1684238411102224	14.572
1684238411165961	14.572
1684238411228846	14.572
1684238411291144	14.572
1684238411354776	14.572
1684238411418044	14.572
1684238411480638	14.572
1684238411542148	14.572
1684238411602830	14.572
1684238411666083	14.572
1684238411729374	14.572
1684238411791090	14.572
1684238411853480	14.572
1684238411917415	14.566
1684238411980445	14.566
1684238412042272	14.566
1684238412104226	14.566
1684238412166543	14.566
1684238412228380	14.566
1684238412289958	14.566
1684238412352883	14.566
1684238412415006	14.566
1684238412478424	14.566
1684238412539786	14.566
1684238412603274	14.566
1684238412666194	14.566
1684238412729208	14.566
1684238412790428	14.566
1684238412854194	14.566
1684238412917244	14.566
1684238412979362	14.566
1684238413042187	14.566
1684238413104216	14.566
1684238413168462	14.566
1684238413231253	14.566
1684238413292264	14.566
1684238413353991	14.566
1684238413416248	14.57
1684238413479235	14.57
1684238413543140	14.57
1684238413606120	14.57
1684238413667381	14.57
1684238413730310	14.57
1684238413793286	14.57
1684238413856116	14.57
1684238413918320	14.57
1684238413982311	14.57
1684238414044493	14.57
1684238414105392	14.57
1684238414167914	14.57
1684238414229893	14.57
1684238414292163	14.57
1684238414355296	14.57
1684238414418845	14.57
1684238414449214	14.57
1684238414480142	14.571
1684238414544284	14.571
1684238414605900	14.573
1684238414667924	14.573
1684238414732370	14.573
1684238414793166	14.573
1684238414855965	14.573
1684238414919433	14.573
1684238414981051	14.573
1684238415044692	14.573
1684238415105510	14.573
1684238415168344	14.573
1684238415230286	14.573
1684238415292104	14.573
1684238415353162	14.573
1684238415417334	14.573
1684238415479864	14.573
1684238415541734	14.573
1684238415604182	14.573
1684238415666991	14.573
1684238415728450	14.573
1684238415791128	14.573
1684238415822312	14.569
1684238415883952	14.569
1684238415947104	14.569
1684238416010134	14.569
1684238416071250	14.569
1684238416133925	14.569
1684238416198099	14.569
1684238416261608	14.569
1684238416323213	14.569
1684238416386108	14.569
1684238416449282	14.569
1684238416511201	14.569
1684238416589284	14.569
1684238416652221	14.569
1684238416714390	14.569
1684238416777271	14.569
1684238416839247	14.569
1684238416901166	14.569
1684238416979244	14.569
1684238417041410	14.569
1684238417104164	14.569
1684238417183332	14.572
1684238417244089	14.572
1684238417307986	14.572
1684238417369798	14.572
1684238417432078	14.572
1684238417496975	14.572
1684238417559352	14.572
1684238417621221	14.572
1684238417682095	14.572
1684238417744526	14.572
1684238417806316	14.572
1684238417869785	14.572
1684238417932563	14.572
1684238417993888	14.572
1684238418057172	14.572
1684238418117926	14.572
1684238418182306	14.572
1684238418244127	14.572
1684238418305820	14.572
1684238418367844	14.572
1684238418430928	14.572
1684238418494152	14.572
1684238418524460	14.573
1684238418587835	14.573
1684238418650276	14.573
1684238418713234	14.573
1684238418776031	14.573
1684238418838983	14.573
1684238418901563	14.573
