time	rpm
1684255495846503	0
1684255495892666	0
1684255495940133	0
1684255495987489	0
1684255496035439	0
1684255496082835	0
1684255496130737	0
1684255496176344	0
1684255496223555	0
1684255496270787	0
1684255496333924	0
1684255496411554	0
1684255496475135	0
1684255496523461	0
1684255496571127	0
1684255496618293	0
1684255496666135	0
1684255496713792	0
1684255496760198	0
1684255496807396	0
1684255496855239	0
1684255496902150	0
1684255496949028	0
1684255496996664	0
1684255497043724	0
1684255497090590	0
1684255497137628	0
1684255497184895	0
1684255497244649	0
1684255497279651	0
1684255497326610	0
1684255497373618	0
1684255497420646	0
1684255497467684	0
1684255497515072	0
1684255497561584	0
1684255497606902	0
1684255497653846	0
1684255497701196	0
1684255497747830	0
1684255497794705	0
1684255497840788	0
1684255497888764	0
1684255497935491	0
1684255497982614	0
1684255498029121	0
1684255498076479	30
1684255498124120	77
1684255498171096	111
1684255498217729	132
1684255498265206	158
1684255498310556	178
1684255498357376	215
1684255498404206	241
1684255498450277	265
1684255498497206	282
1684255498543237	323
1684255498590838	341
1684255498637567	367
1684255498684236	388
1684255498732246	406
1684255498777247	431
1684255498824796	473
1684255498870801	514
1684255498917492	554
1684255498963428	579
1684255499009516	598
1684255499056108	621
1684255499104328	659
1684255499150112	685
1684255499198068	707
1684255499244342	721
1684255499291658	744
1684255499340062	787
1684255499386533	829
1684255499433642	869
1684255499480774	896
1684255499527286	905
1684255499574900	911
1684255499621732	915
1684255499669692	920
1684255499716890	929
1684255499762303	934
1684255499808803	939
1684255499856724	944
1684255499903638	948
1684255499949291	958
1684255499997260	963
1684255500044442	972
1684255500092538	981
1684255500138460	987
1684255500186460	992
1684255500233501	996
1684255500280524	1001
1684255500357801	8087
1684255500404788	8089
1684255500450799	8091
1684255500497814	8093
1684255500543975	8096
1684255500590841	8099
1684255500636968	8099
1684255500683930	8101
1684255500731390	8104
1684255500777048	8106
1684255500824104	8108
1684255500872056	8109
1684255500918862	8111
1684255500965930	8110
1684255501012851	8106
1684255501058849	8102
1684255501106094	8100
1684255501153281	8098
1684255501199021	8095
1684255501245484	8093
1684255501292772	8090
1684255501339281	8087
1684255501387303	8081
1684255501434171	8077
1684255501481202	8074
1684255501527685	8070
1684255501574796	8068
1684255501620310	8066
1684255501698879	7763
1684255501745754	7764
1684255501793815	7765
1684255501839392	7765
1684255501886842	7766
1684255501933520	7767
1684255501981319	7767
1684255502029182	7769
1684255502075352	7769
1684255502122978	7770
1684255502169959	7771
1684255502216608	7771
1684255502264642	7772
1684255502310609	7773
1684255502356610	7775
1684255502402534	7776
1684255502449184	7778
1684255502494514	7779
1684255502541731	7780
1684255502589436	7781
1684255502635797	7782
1684255502682822	7782
1684255502729287	7783
1684255502775443	7785
1684255502821793	7786
1684255502868418	7786
1684255502930096	7787
1684255502978448	7788
1684255503040111	7658
1684255503087302	7660
1684255503133068	7666
1684255503180306	7674
1684255503226349	7682
1684255503274426	7685
1684255503320668	7690
1684255503367470	7693
1684255503415235	7698
1684255503462232	7701
1684255503508490	7701
1684255503554900	7706
1684255503601498	7709
1684255503649455	7714
1684255503695097	7717
1684255503742077	7720
1684255503789379	7725
1684255503835836	7728
1684255503882581	7731
1684255503928991	7736
1684255503975265	7741
1684255504021266	7744
1684255504067321	7747
1684255504113694	7755
1684255504161194	7760
1684255504208194	7762
1684255504254395	7766
1684255504302038	7768
1684255504395762	7461
1684255504442295	7465
1684255504489397	7472
1684255504536296	7474
1684255504583334	7478
1684255504628294	7481
1684255504675473	7488
1684255504721562	7488
1684255504769514	7494
1684255504816818	7498
1684255504862716	7501
1684255504908790	7507
1684255504955804	7514
1684255505002738	7517
1684255505049615	7528
1684255505098014	7534
1684255505144560	7537
1684255505191630	7541
1684255505239896	7547
1684255505285955	7550
1684255505332494	7554
1684255505378817	7557
1684255505425414	7560
1684255505471869	7564
1684255505518625	7571
1684255505566378	7573
1684255505614352	7576
1684255505661611	7580
1684255505707577	7583
1684255505785614	7485
1684255505833217	7485
1684255505880571	7485
1684255505943946	7485
1684255505989497	7485
1684255506036643	7485
1684255506083638	7485
1684255506131251	7485
1684255506178252	7485
1684255506224232	7485
1684255506272236	7485
1684255506319563	7485
1684255506366627	7485
1684255506414088	7485
1684255506462116	7485
1684255506508928	7485
1684255506556922	7485
1684255506603499	7485
1684255506650412	7485
1684255506698033	7485
1684255506744365	7485
1684255506791876	7485
1684255506839462	7485
1684255506887077	7485
1684255506933774	7485
1684255506981018	7485
1684255507027776	7485
1684255507074775	7485
1684255507153776	7231
1684255507205254	7230
1684255507249104	7230
1684255507296012	7229
1684255507342640	7229
1684255507390425	7228
1684255507437028	7228
1684255507483299	7228
1684255507530028	7229
1684255507577484	7229
1684255507622955	7230
1684255507669944	7233
1684255507716150	7234
1684255507763156	7235
1684255507810461	7236
1684255507858156	7237
1684255507906484	7237
1684255507953580	7238
1684255508000576	7239
1684255508047351	7239
1684255508095202	7241
1684255508142040	7242
1684255508189160	7242
1684255508235508	7243
1684255508282366	7244
1684255508329998	7244
1684255508375999	7245
