time	rpm
1684770601041368	0
1684770601041368	0
1684770601042410	0
1684770601043370	0
1684770601043370	0
1684770601044368	0
1684770601044368	0
1684770601045368	0
1684770601045368	0
1684770601046368	0
1684770601046368	0
1684770601047374	0
1684770601047374	0
1684770601048386	0
1684770601049370	0
1684770601049370	0
1684770601050372	0
1684770601050372	0
1684770601051372	0
1684770601051372	0
1684770601052375	0
1684770601053369	0
1684770601053369	0
1684770601054367	0
1684770601055371	0
1684770601055562	0
1684770601056369	0
1684770601056369	0
1684770601058368	0
1684770601060370	0
1684770601062826	0
1684770601065367	0
1684770601070369	0
1684770601072368	0
1684770601074412	0
1684770601085384	0
1684770601088366	0
1684770601093366	0
1684770601096449	0
1684770601098391	0
1684770601102372	0
1684770601105374	0
1684770601110365	0
1684770601110365	0
1684770601114384	0
1684770601116383	0
1684770601121369	0
1684770601123376	0
1684770601126368	0
1684770601128368	0
1684770601133389	0
1684770601138368	0
1684770601141369	0
1684770601146369	0
1684770601149367	0
1684770601153368	0
1684770601156368	1
1684770601156368	2
1684770601161367	7
1684770601163370	10
1684770601167368	13
1684770601173730	21
1684770601178369	27
1684770601184368	34
1684770601189388	40
1684770601191368	43
1684770601196369	49
1684770601201742	55
1684770601203368	58
1684770601208366	64
1684770601211366	67
1684770601214374	69
1684770601220573	78
1684770601224368	82
1684770601231368	88
1684770601231368	90
1684770601234367	93
1684770601238366	99
1684770601241368	102
1684770601243368	105
1684770601249368	111
1684770601254018	117
1684770601256368	120
1684770601258370	129
1684770601261368	132
1684770601263386	136
1684770601269341	143
1684770601271368	146
1684770601276118	150
1684770601276368	153
1684770601281368	160
1684770601283370	164
1684770601288368	170
1684770601293368	177
1684770601296381	181
1684770601298375	184
1684770601304368	191
1684770601306369	194
1684770601308368	198
1684770601310369	201
1684770601313369	205
1684770601316419	209
1684770601320369	215
1684770601323368	218
1684770601326368	223
1684770601330384	226
1684770601331372	229
1684770601337367	236
1684770601338370	240
1684770601341367	243
1684770601343367	247
1684770601346368	250
1684770601348556	254
1684770601356368	261
1684770601358368	264
1684770601360368	270
1684770601363369	271
1684770601365368	271
1684770601368369	272
1684770601371368	273
1684770601373369	274
1684770601383367	276
1684770601388369	278
1684770601393883	279
1684770601398369	280
1684770601401370	281
1684770601403368	282
1684770601408368	283
1684770601411368	284
1684770601414078	284
1684770601416373	285
1684770601418368	286
1684770601421369	287
1684770601426370	288
1684770601431376	289
1684770601434367	290
1684770601438370	291
1684770601441368	292
1684770601443368	293
1684770601446368	294
1684770601448370	294
1684770601453368	296
1684770601456367	296
1684770601460367	297
1684770601463368	298
1684770601466368	299
1684770601468368	300
1684770601471368	300
1684770601473368	300
1684770601476369	300
1684770601483369	300
1684770601489685	300
1684770601491368	300
1684770601494368	300
1684770601496367	300
1684770601498370	300
1684770601501366	300
1684770601506368	300
1684770601509864	300
1684770601512367	300
1684770601515369	300
1684770601516368	300
1684770601521781	300
1684770601523368	300
1684770601529369	300
1684770601529369	300
1684770601534368	300
1684770601538368	300
1684770601541368	300
1684770601546368	300
1684770601548368	300
1684770601551367	300
1684770601556368	300
1684770601557368	300
1684770601561368	300
1684770601564373	300
1684770601567368	300
1684770601569368	300
1684770601573368	300
1684770601576366	300
1684770601584368	301
1684770601587369	301
1684770601592367	302
1684770601594368	302
1684770601597377	302
1684770601599368	303
1684770601601367	303
1684770601607368	304
1684770601609368	304
1684770601612370	304
1684770601614368	304
1684770601619369	305
1684770601620368	305
1684770601624368	306
1684770601627368	306
1684770601631374	307
1684770601633370	307
1684770601637367	307
1684770601639913	308
1684770601642368	308
1684770601644369	308
1684770601646368	309
1684770601651367	309
1684770601654539	310
1684770601657368	310
1684770601659368	310
1684770601661368	311
1684770601667368	311
1684770601671368	312
1684770601677368	313
1684770601687842	314
1684770601690368	314
1684770601695368	314
1684770601697368	314
1684770601699368	314
1684770601702468	314
1684770601704369	314
1684770601707368	314
1684770601712369	314
1684770601715366	314
1684770601717368	314
1684770601719368	314
1684770601723368	314
1684770601727368	314
1684770601731365	314
1684770601732365	314
1684770601735500	314
1684770601740368	314
1684770601742367	314
1684770601744870	314
1684770601747368	314
1684770601749370	314
1684770601752367	314
1684770601757368	314
1684770601759472	314
1684770601762367	314
1684770601765368	314
1684770601770369	314
1684770601772368	314
1684770601775368	314
1684770601780384	314
1684770601785368	314
1684770601787369	313
1684770601795368	312
1684770601797368	311
1684770601803369	310
1684770601805368	310
1684770601807369	309
1684770601810484	309
1684770601815367	308
1684770601817368	307
1684770601820367	307
1684770601822368	306
1684770601825368	306
1684770601828366	305
1684770601832365	304
1684770601837368	303
1684770601843368	302
1684770601845368	302
1684770601848367	301
1684770601850368	301
1684770601852365	300
1684770601857492	299
1684770601860369	298
1684770601862368	298
1684770601865368	298
1684770601868368	297
1684770601870369	296
1684770601875368	296
1684770601885367	293
1684770601890369	270
1684770601893426	270
1684770601898368	269
1684770601900368	269
1684770601903781	269
1684770601908368	268
1684770601908368	268
1684770601913368	267
1684770601916366	267
1684770601920368	267
1684770601921368	267
1684770601923369	266
1684770601928368	265
1684770601932369	265
1684770601933368	265
1684770601936368	264
1684770601938368	264
1684770601943369	263
1684770601946367	263
1684770601948368	263
1684770601950368	262
1684770601953368	262
1684770601956369	261
1684770601958368	261
1684770601962369	261
1684770601968368	260
1684770601973370	259
1684770601976367	259
1684770601978368	258
1684770601983366	258
1684770601988367	257
1684770601992369	257
1684770601994368	257
1684770601996367	257
1684770601999368	257
1684770602004428	257
1684770602007368	257
1684770602009370	257
1684770602014368	257
1684770602017368	257
1684770602019367	257
1684770602022368	257
1684770602024368	257
1684770602026368	257
1684770602029367	257
1684770602034368	257
1684770602037367	257
1684770602039368	257
1684770602041368	257
1684770602044368	257
1684770602048368	257
1684770602053368	257
1684770602056369	257
1684770602062369	257
1684770602064368	257
1684770602066368	257
1684770602069368	257
1684770602072506	257
1684770602076368	257
1684770602079367	257
1684770602081366	257
1684770602089367	257
1684770602097368	257
1684770602099368	257
1684770602106364	257
1684770602109368	257
1684770602117368	257
1684770602122369	257
1684770602124368	257
1684770602127368	257
