time	pwm_percent
1684771306165851	2
1684771309168469	7
1684771312180393	12
1684771315195684	17
1684771318200913	22
1684771321201912	27
1684771324207486	32
1684771327208144	37
1684771330216715	42
1684771333232770	47
1684771336248325	52
1684771339252750	57
1684771342263077	62
1684771345279538	67
1684771348292990	72
1684771351307802	77
1684771354323913	82
1684771357334600	87
1684771360340540	92
1684771363342606	97
1684771366343966	100
1684771369355141	95
1684771371359971	90
1684771373373971	85
1684771375381036	80
1684771377383439	75
1684771379398439	70
1684771381407470	65
1684771383409919	60
1684771385416016	55
1684771387416812	50
1684771389428811	45
1684771391439811	40
1684771393453974	35
1684771395465007	30
1684771397476051	25
1684771399485168	20
1684771401490059	15
1684771403502746	10
1684771405512475	5
