time	rpm
1684762414503943	0
1684762414505586	0
1684762414506596	0
1684762414506596	0
1684762414507595	0
1684762414507595	0
1684762414508596	0
1684762414508596	0
1684762414510400	0
1684762414510594	0
1684762414511596	0
1684762414511596	0
1684762414512596	0
1684762414512596	0
1684762414514595	0
1684762414514700	0
1684762414515596	0
1684762414516593	0
1684762414516593	0
1684762414517594	0
1684762414518922	0
1684762414518922	0
1684762414519929	0
1684762414519929	0
1684762414520929	0
1684762414520929	0
1684762414521928	0
1684762414522928	0
1684762414523928	0
1684762414523928	0
1684762414524929	0
1684762414525929	0
1684762414525929	0
1684762414527128	0
1684762414527928	0
1684762414528929	0
1684762414528929	0
1684762414530018	0
1684762414530191	0
1684762414530928	0
1684762414531929	0
1684762414532929	0
1684762414532929	0
1684762414533930	0
1684762414533930	0
1684762414535220	0
1684762414535928	0
1684762414536930	0
1684762414536930	0
1684762414537929	0
1684762414537929	0
1684762414538930	0
1684762414539928	0
1684762414540929	0
1684762414541555	0
1684762414541934	0
1684762414541934	0
1684762414542929	0
1684762414543928	0
1684762414544928	0
1684762414544928	0
1684762414545929	0
1684762414545929	0
1684762414546929	0
1684762414546929	0
1684762414547928	0
1684762414548928	0
1684762414549929	0
1684762414549929	0
1684762414550929	0
1684762414550929	0
1684762414551928	0
1684762414552928	0
1684762414553927	0
1684762414553927	0
1684762414554929	0
1684762414554929	0
1684762414556525	0
1684762414556928	0
1684762414557928	0
1684762414557928	0
1684762414558928	0
1684762414559928	0
1684762414561025	0
1684762414561025	0
1684762414562224	0
1684762414562952	0
1684762414563928	0
1684762414563928	0
1684762414564929	0
1684762414565929	5791
1684762414567251	5999
1684762414567928	6192
1684762414568928	6291
1684762414568928	6504
1684762414569929	6574
1684762414569929	6767
1684762414570929	6981
1684762414571928	7164
1684762414572928	7283
1684762414572928	7374
1684762414575954	7560
1684762414579929	7643
1684762414583928	7685
1684762414588928	7750
1684762414590929	7781
1684762414593928	7822
1684762414596929	7857
1684762414598928	7894
1684762414603927	7958
1684762414605929	7989
1684762414608994	8030
1684762414612928	8097
1684762414613928	8100
1684762414621175	8203
1684762414624176	8241
1684762414638456	8438
1684762414640177	8476
1684762414645176	8544
1684762414648176	8587
1684762414650176	8613
1684762414656177	8687
1684762414661177	8755
1684762414663176	8792
1684762414668598	8860
1684762414670175	8892
1684762414673177	8932
1684762414676176	8965
1684762414679288	8998
1684762414684052	9113
1684762414686176	9113
1684762414689176	9112
1684762414691177	9111
1684762414693176	9110
1684762414699176	9109
1684762414701178	9108
1684762414706176	9107
1684762414711176	9105
1684762414720788	9103
1684762414723176	9102
1684762414730875	9100
1684762414733177	9099
1684762414739176	9098
1684762414740177	9097
1684762414745176	9096
1684762414748175	9095
1684762414749176	9095
1684762414754176	9093
1684762414759177	9092
1684762414761176	9091
1684762414766175	9090
1684762414769177	9089
1684762414774176	9088
1684762414774176	9088
1684762414776230	9087
1684762414781176	9086
1684762414784392	9085
1684762414786177	9085
1684762414789176	9085
1684762414793178	9086
1684762414796176	9086
1684762414799178	9087
1684762414801176	9088
1684762414803177	9088
1684762414810010	9090
1684762414812178	9090
1684762414813178	9091
1684762414817176	9092
1684762414818486	9092
1684762414821292	9093
1684762414825176	9094
1684762414829176	9095
1684762414833177	9096
1684762414836177	9097
1684762414845176	9099
1684762414846176	9100
1684762414855204	9102
1684762414859176	9103
1684762414862177	9104
1684762414865176	9105
1684762414866177	9105
1684762414869669	9106
1684762414874177	9107
